Gene	p avg	Name
GRB7	1.4150000000000164e-19	growth factor receptor bound protein 7
CDK12	5.0500002170000004e-18	cyclin dependent kinase 12
PSMD3	4.7049999999999995e-17	proteasome 26S subunit, non-ATPase 3
MED1	2.237e-15	mediator complex subunit 1
FBXL20	2.5185e-13	F-box and leucine rich repeat protein 20
TCAP	9.354005e-13	titin-cap
MED24	1.2695e-12	mediator complex subunit 24
STARD3	2.98000000000068e-12	StAR related lipid transfer domain containing 3
PNMT	2.7200001305e-11	phenylethanolamine N-methyltransferase
ORMDL3	3.69000002465e-10	ORMDL sphingolipid biosynthesis regulator 3
WIPF2	4.945143e-10	WAS/WASL interacting protein family member 2
PGAP3	1.0376736789174678e-09	post-GPI attachment to proteins phospholipase 3
CASC3	1.7702e-09	CASC3 exon junction complex subunit
MSL1	4.6945e-09	MSL complex subunit 1
RPL19P12	1.360351e-08	ribosomal protein L19 pseudogene 12
MIEN1	1.5083643210308245e-08	migration and invasion enhancer 1
IYD	1.1259999999999999e-07	iodotyrosine deiodinase
GSDMB	1.3535125222561617e-07	gasdermin B
MLLT6	1.57071822517605e-07	MLLT6, PHD finger containing
RPL19	1.8456499999999999e-07	ribosomal protein L19
PHF12	2.11280152568709e-06	PHD finger protein 12
TMEM86A	3.0268799999999996e-06	transmembrane protein 86A
NEUROD2	3.1360136328689063e-06	neuronal differentiation 2
SERHL2	4.7200000000000005e-06	serine hydrolase like 2
ELAC1	4.835e-06	elaC ribonuclease Z 1
CCDC87	5.035e-06	coiled-coil domain containing 87
ACACA	6.875e-06	acetyl-CoA carboxylase alpha
CYP4Z2P	7.600055e-06	cytochrome P450 family 4 subfamily Z member 2, pseudogene
SRCIN1	9.35002695e-06	SRC kinase signaling inhibitor 1
ABCC12	9.46085e-06	ATP binding cassette subfamily C member 12
SPINK8	1.110003315e-05	serine peptidase inhibitor Kazal type 8 (putative)
SLC2A10	1.573415e-05	solute carrier family 2 member 10
NEXN-AS1	1.7711627564005706e-05	NEXN antisense RNA 1
ARRDC1	1.785e-05	arrestin domain containing 1
TMEM45B	1.93485e-05	transmembrane protein 45B
P2RY2	2.2895e-05	purinergic receptor P2Y2
TNKS1BP1	2.3986947713950967e-05	tankyrase 1 binding protein 1
KCNJ12	2.418e-05	potassium inwardly rectifying channel subfamily J member 12
LASP1	2.5150000059e-05	LIM and SH3 protein 1
PSMB3	2.5589941819239312e-05	proteasome 20S subunit beta 3
HPX	2.65e-05	hemopexin
SPDEF	2.926e-05	SAM pointed domain containing ETS transcription factor
FASN	3.4018e-05	fatty acid synthase
PPP1R10	3.430869408655307e-05	protein phosphatase 1 regulatory subunit 10
PIP4K2B	3.746766425268205e-05	phosphatidylinositol-5-phosphate 4-kinase type 2 beta
RND1	4.24e-05	Rho family GTPase 1
LRFN2	4.699e-05	leucine rich repeat and fibronectin type III domain containing 2
HMGN4	4.73e-05	high mobility group nucleosomal binding domain 4
