Gene	p avg	Name
GRB7	2.985000000000009e-30	growth factor receptor bound protein 7
MIEN1	1.329e-24	migration and invasion enhancer 1
STARD3	1.3100000150000002e-21	StAR related lipid transfer domain containing 3
CDK12	2.1150461e-13	cyclin dependent kinase 12
CCNK	4.815e-10	cyclin K
TRAF4	9.79855e-09	TNF receptor associated factor 4
MYO18A	1.1153650000000001e-08	myosin XVIIIA
MAP3K9	3.15e-08	mitogen-activated protein kinase kinase kinase 9
PNMT	3.8827999999999995e-08	phenylethanolamine N-methyltransferase
TAOK1	3.67455e-07	TAO kinase 1
PPP1R10	4.85e-07	protein phosphatase 1 regulatory subunit 10
TOX4	2.299e-06	TOX high mobility group box family member 4
FLOT2	2.41604e-06	flotillin 2
UNC119	3.2680000000000003e-06	unc-119 lipid binding chaperone
SPTLC1	4.0635e-06	serine palmitoyltransferase long chain base subunit 1
PHF12	6.451055e-06	PHD finger protein 12
MLLT6	7.769e-06	MLLT6, PHD finger containing
POR	9.129999999999999e-06	cytochrome p450 oxidoreductase
ANO10	1.3135e-05	anoctamin 10
NUFIP2	1.3369e-05	nuclear FMR1 interacting protein 2
PRODH	1.3805e-05	proline dehydrogenase 1
SUPT6H	1.386e-05	SPT6 homolog, histone chaperone and transcription elongation factor
RHOB	2.423e-05	ras homolog family member B
PIP4K2B	2.79500169e-05	phosphatidylinositol-5-phosphate 4-kinase type 2 beta
GIT1	3.709175e-05	GIT ArfGAP 1
SPTLC2	4.290885e-05	serine palmitoyltransferase long chain base subunit 2
ITGB6	4.5770000000000004e-05	integrin subunit beta 6
SRCIN1	6.050013e-05	SRC kinase signaling inhibitor 1
WIPF2	6.565e-05	WAS/WASL interacting protein family member 2
GPAA1	7.36e-05	glycosylphosphatidylinositol anchor attachment 1
VMP1	8.375e-05	vacuole membrane protein 1
MSL1	9.981200000000001e-05	MSL complex subunit 1
FBXL20	0.00010050000000125001	F-box and leucine rich repeat protein 20
GALNT7	0.0001211	polypeptide N-acetylgalactosaminyltransferase 7
SEC16A	0.00013658	SEC16 homolog A, endoplasmic reticulum export factor
TBC1D30	0.00013915000000000002	TBC1 domain family member 30
SLC12A2	0.000146	solute carrier family 12 member 2
LASP1	0.00015206	LIM and SH3 protein 1
CRAT	0.00017065	carnitine O-acetyltransferase
INF2	0.00017805	inverted formin 2
