Gene	r	p	Name
MIEN1	0.928	5.08e-20	migration and invasion enhancer 1
STARD3	0.892	2.13e-16	StAR related lipid transfer domain containing 3
PGAP3	0.807	2.06e-11	post-GPI attachment to proteins phospholipase 3
CDK12	0.792	9.43e-11	cyclin dependent kinase 12
TNFAIP1	0.766	8.68e-10	TNF alpha induced protein 1
PHF12	0.755	2.11e-09	PHD finger protein 12
TAOK1	0.739	6.91e-09	TAO kinase 1
TRAF4	0.724	1.95e-08	TNF receptor associated factor 4
MYO18A	0.722	2.23e-08	myosin XVIIIA
IL13RA1	0.715	3.47e-08	interleukin 13 receptor subunit alpha 1
GIT1	0.701	8.35e-08	GIT ArfGAP 1
EME1	0.7	8.51e-08	essential meiotic structure-specific endonuclease 1
UBBP4	0.915	1.05e-07	ubiquitin B pseudogene 4
PPP1R9B	0.693	1.31e-07	protein phosphatase 1 regulatory subunit 9B
RSAD1	0.691	1.46e-07	radical S-adenosyl methionine domain containing 1
DHRS13	0.689	1.63e-07	dehydrogenase/reductase 13
TOX4	0.679	2.88e-07	TOX high mobility group box family member 4
UNC119	0.675	3.76e-07	unc-119 lipid binding chaperone
MSL1	0.665	6.24e-07	MSL complex subunit 1
RPUSD4	0.648	1.49e-06	RNA pseudouridine synthase D4
LRRC59	0.648	1.5e-06	leucine rich repeat containing 59
PXN	0.647	1.55e-06	paxillin
RHOB	0.647	1.56e-06	ras homolog family member B
ANKRD40	0.645	1.73e-06	ankyrin repeat domain 40
ZBED6	0.697	2.31e-06	zinc finger BED-type containing 6
CORO2A	0.635	2.8e-06	coronin 2A
SPATA20	0.633	3.02e-06	spermatogenesis associated 20
CCNK	0.632	3.22e-06	cyclin K
ZDHHC3	0.623	4.78e-06	zinc finger DHHC-type palmitoyltransferase 3
FLOT2	0.623	4.83e-06	flotillin 2
CASC3	0.622	5.01e-06	CASC3 exon junction complex subunit
SNAPC4	0.622	5.1e-06	small nuclear RNA activating complex polypeptide 4
CNTNAP2	0.679	5.36e-06	contactin associated protein 2
ARFGAP1	0.621	5.37e-06	ADP ribosylation factor GTPase activating protein 1
