Gene	r	p	Name
MLK4	0.91	8.94e-41	mitogen-activated protein kinase kinase kinase 21
STARD3	0.823	3e-29	StAR related lipid transfer domain containing 3
MAP3K9	0.82	6.36e-27	mitogen-activated protein kinase kinase kinase 9
MIEN1	0.771	2.58e-25	migration and invasion enhancer 1
CDK12	0.678	9.22e-18	cyclin dependent kinase 12
FBXL20	0.639	2.5e-15	F-box and leucine rich repeat protein 20
KIAA0100	0.603	2.03e-13	KIAA0100
MED1	0.58	2.56e-12	mediator complex subunit 1
MYO18A	0.57	7.3e-12	myosin XVIIIA
PIP4K2B	0.555	3.38e-11	phosphatidylinositol-5-phosphate 4-kinase type 2 beta
PNMT	0.549	5.6e-11	phenylethanolamine N-methyltransferase
TRAF4	0.544	9.71e-11	TNF receptor associated factor 4
SRCIN1	0.533	2.6e-10	SRC kinase signaling inhibitor 1
CCNK	0.525	5.38e-10	cyclin K
FLOT2	0.509	2.08e-09	flotillin 2
CWC25	0.462	8.74e-08	CWC25 spliceosome associated protein homolog
ACACA	0.461	8.96e-08	acetyl-CoA carboxylase alpha
ADAM10	0.453	1.57e-07	ADAM metallopeptidase domain 10
NUFIP2	0.447	2.38e-07	nuclear FMR1 interacting protein 2
MLLT6	0.442	3.38e-07	MLLT6, PHD finger containing
PPP1R10	0.438	4.43e-07	protein phosphatase 1 regulatory subunit 10
SPAG5	0.435	5.53e-07	sperm associated antigen 5
PIGS	0.431	7.22e-07	phosphatidylinositol glycan anchor biosynthesis class S
TAOK1	0.431	7.28e-07	TAO kinase 1
SPTLC1	0.43	7.47e-07	serine palmitoyltransferase long chain base subunit 1
LPCAT1	0.427	9.15e-07	lysophosphatidylcholine acyltransferase 1
CPD	0.423	1.19e-06	carboxypeptidase D
FAM213A	0.42	1.46e-06	peroxiredoxin like 2A
ITGB6	0.419	1.54e-06	integrin subunit beta 6
C7orf43	0.418	1.71e-06	trafficking protein particle complex subunit 14
NBEAL2	0.414	2.08e-06	neurobeachin like 2
PRR5-ARHGAP8	0.41	2.79e-06	PRR5-ARHGAP8 readthrough
LASP1	0.408	3.12e-06	LIM and SH3 protein 1
SLFN5	0.407	3.24e-06	schlafen family member 5
FLOT1	0.407	3.24e-06	flotillin 1
SUPT6H	0.405	3.72e-06	SPT6 homolog, histone chaperone and transcription elongation factor
PIGT	0.403	4.14e-06	phosphatidylinositol glycan anchor biosynthesis class T
TOX4	0.402	4.31e-06	TOX high mobility group box family member 4
RAB27A	0.401	4.68e-06	RAB27A, member RAS oncogene family
PARD6B	-0.4	5.08e-06	par-6 family cell polarity regulator beta
UNC119	0.396	6.16e-06	unc-119 lipid binding chaperone
ANO10	0.396	6.17e-06	anoctamin 10
IGF2R	0.393	7.44e-06	insulin like growth factor 2 receptor
ATP2A2	0.385	1.19e-05	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
PHF12	0.384	1.29e-05	PHD finger protein 12
GPAA1	0.396	1.32e-05	glycosylphosphatidylinositol anchor attachment 1
POR	0.38	1.6e-05	cytochrome p450 oxidoreductase
TBC1D30	0.392	1.63e-05	TBC1 domain family member 30
STX5	0.379	1.7e-05	syntaxin 5
MARK2	0.379	1.7e-05	microtubule affinity regulating kinase 2
LPGAT1	0.377	1.84e-05	lysophosphatidylglycerol acyltransferase 1
ERMP1	0.377	1.87e-05	endoplasmic reticulum metallopeptidase 1
PRODH	0.376	1.92e-05	proline dehydrogenase 1
WFS1	0.375	2.09e-05	wolframin ER transmembrane glycoprotein
CKAP4	0.373	2.3e-05	cytoskeleton associated protein 4
SPINT1	0.37	2.67e-05	serine peptidase inhibitor, Kunitz type 1
