Gene	r	p	Name
PGAP3	0.894	7.35e-28	post-GPI attachment to proteins phospholipase 3
STARD3	0.869	1.36e-24	StAR related lipid transfer domain containing 3
ORMDL3	0.796	4.93e-18	ORMDL sphingolipid biosynthesis regulator 3
C17orf37	0.792	9.88e-18	migration and invasion enhancer 1
CDK12	0.792	1.01e-17	cyclin dependent kinase 12
PSMD3	0.788	1.74e-17	proteasome 26S subunit, non-ATPase 3
MED1	0.751	3.57e-15	mediator complex subunit 1
WIPF2	0.735	2.86e-14	WAS/WASL interacting protein family member 2
MED24	0.723	1.09e-13	mediator complex subunit 24
FBXL20	0.711	4.44e-13	F-box and leucine rich repeat protein 20
TCAP	0.697	1.87e-12	titin-cap
PNMT	0.662	5.44e-11	phenylethanolamine N-methyltransferase
CASC3	0.661	6.04e-11	CASC3 exon junction complex subunit
SPINK8	0.66	6.63e-11	serine peptidase inhibitor Kazal type 8 (putative)
CYP4Z2P	0.654	1.1e-10	cytochrome P450 family 4 subfamily Z member 2, pseudogene
SEC16A	0.647	2.08e-10	SEC16 homolog A, endoplasmic reticulum export factor
MSL1	0.641	3.49e-10	MSL complex subunit 1
LOC150622	0.632	6.84e-10	sciatic injury induced lincRNA upregulator of SOX11
XKR8	-0.621	1.62e-09	XK related 8
CATSPERB	0.612	3.26e-09	cation channel sperm associated auxiliary subunit beta
TMEM86A	0.61	3.76e-09	transmembrane protein 86A
C14orf184	0.61	3.86e-09	
LYPD4	0.59	1.63e-08	LY6/PLAUR domain containing 4
ABCC12	0.586	2.17e-08	ATP binding cassette subfamily C member 12
RPL19P12	0.583	2.72e-08	ribosomal protein L19 pseudogene 12
ABCC11	0.577	4.03e-08	ATP binding cassette subfamily C member 11
ELMOD2	0.576	4.1e-08	ELMO domain containing 2
CREB3L4	0.573	5.04e-08	cAMP responsive element binding protein 3 like 4
DMRTC2	0.57	6.14e-08	DMRT like family C2
SLC2A10	0.569	6.83e-08	solute carrier family 2 member 10
THRA	0.565	8.63e-08	thyroid hormone receptor alpha
IYD	0.565	8.72e-08	iodotyrosine deiodinase
SPTLC2	0.565	8.77e-08	serine palmitoyltransferase long chain base subunit 2
ZNF737	0.552	1.96e-07	zinc finger protein 737
LOC222699	0.548	2.47e-07	
PRRC1	0.548	2.56e-07	proline rich coiled-coil 1
TMEM167A	0.545	3e-07	transmembrane protein 167A
EHMT1	0.541	3.68e-07	euchromatic histone lysine methyltransferase 1
RPL19	0.541	3.69e-07	ribosomal protein L19
PNLIPRP3	0.539	4.29e-07	pancreatic lipase related protein 3
FASN	0.539	4.36e-07	fatty acid synthase
DULLARD	-0.538	4.54e-07	CTD nuclear envelope phosphatase 1
C2orf54	0.537	4.76e-07	mab-21 like 4
ZNF616	0.537	4.84e-07	zinc finger protein 616
PPP1R10	0.536	5.17e-07	protein phosphatase 1 regulatory subunit 10
SRD5A3	0.536	5.18e-07	steroid 5 alpha-reductase 3
SAMD11	0.536	5.21e-07	sterile alpha motif domain containing 11
TRIL	0.535	5.49e-07	TLR4 interactor with leucine rich repeats
TRIM65	-0.534	5.62e-07	tripartite motif containing 65
C9orf7	0.531	6.75e-07	calcium channel flower domain containing 1
UGT2B28	0.53	7.18e-07	UDP glucuronosyltransferase family 2 member B28
GALNT7	0.529	7.75e-07	polypeptide N-acetylgalactosaminyltransferase 7
AR	0.525	9.66e-07	androgen receptor
MUCL1	0.524	1.03e-06	mucin like 1
NUDT6	-0.523	1.05e-06	nudix hydrolase 6
ZDHHC18	-0.523	1.06e-06	zinc finger DHHC-type palmitoyltransferase 18
ELAC1	-0.523	1.06e-06	elaC ribonuclease Z 1
LRFN2	0.521	1.18e-06	leucine rich repeat and fibronectin type III domain containing 2
CLCA2	0.521	1.18e-06	chloride channel accessory 2
GLYCAM1	0.519	1.34e-06	glycosylation dependent cell adhesion molecule 1 (pseudogene)
RARA	0.517	1.48e-06	retinoic acid receptor alpha
RGMB	0.514	1.74e-06	repulsive guidance molecule BMP co-receptor b
KIAA1244	0.514	1.78e-06	ARFGEF family member 3
LRRC26	0.513	1.8e-06	leucine rich repeat containing 26
UGT2B11	0.512	1.95e-06	UDP glucuronosyltransferase family 2 member B11
SERHL2	0.511	2.04e-06	serine hydrolase like 2
ABCA12	0.511	2.07e-06	ATP binding cassette subfamily A member 12
RAB27B	0.509	2.26e-06	RAB27B, member RAS oncogene family
ANO10	0.506	2.67e-06	anoctamin 10
OTOR	0.501	3.43e-06	otoraplin
SFRS4	-0.501	3.44e-06	serine and arginine rich splicing factor 4
PIGM	0.501	3.49e-06	phosphatidylinositol glycan anchor biosynthesis class M
P2RY2	0.501	3.49e-06	purinergic receptor P2Y2
TP53INP2	0.5	3.62e-06	tumor protein p53 inducible nuclear protein 2
LPCAT4	-0.499	3.76e-06	lysophosphatidylcholine acyltransferase 4
CCDC87	0.499	3.81e-06	coiled-coil domain containing 87
ARTN	-0.499	3.9e-06	artemin
NXPH1	0.497	4.33e-06	neurexophilin 1
LRRC31	0.496	4.42e-06	leucine rich repeat containing 31
ZDHHC3	0.496	4.44e-06	zinc finger DHHC-type palmitoyltransferase 3
C12orf24	-0.495	4.71e-06	family with sequence similarity 216 member A
SERTAD4	0.494	4.91e-06	SERTA domain containing 4
PKN1	-0.494	4.96e-06	protein kinase N1
IL13RA1	0.493	5.26e-06	interleukin 13 receptor subunit alpha 1
GSDMB	0.492	5.46e-06	gasdermin B
UGT2B10	0.492	5.55e-06	UDP glucuronosyltransferase family 2 member B10
HRASLS2	0.491	5.7e-06	phospholipase A and acyltransferase 2
TMEM63C	0.491	5.71e-06	transmembrane protein 63C
ZBTB42	0.491	5.85e-06	zinc finger and BTB domain containing 42
NEUROD2	0.489	6.26e-06	neuronal differentiation 2
RREB1	0.489	6.54e-06	ras responsive element binding protein 1
LOC90110	0.486	7.37e-06	
CYP4Z1	0.486	7.45e-06	cytochrome P450 family 4 subfamily Z member 1
ALDH3B2	0.486	7.59e-06	aldehyde dehydrogenase 3 family member B2
SERHL	0.486	7.59e-06	serine hydrolase like (pseudogene)
CDC6	0.483	8.42e-06	cell division cycle 6
REEP3	0.483	8.59e-06	receptor accessory protein 3
ACACA	0.483	8.66e-06	acetyl-CoA carboxylase alpha
AKT1	0.482	8.95e-06	AKT serine/threonine kinase 1
GPR107	0.481	9.69e-06	G protein-coupled receptor 107
CATSPER2P1	0.48	9.8e-06	cation channel sperm associated 2 pseudogene 1
GLYATL1	0.48	9.98e-06	glycine-N-acyltransferase like 1
DBNDD2	-0.48	1e-05	dysbindin domain containing 2
GALNT10	0.48	1.02e-05	polypeptide N-acetylgalactosaminyltransferase 10
ZNF432	0.479	1.06e-05	zinc finger protein 432
AMN	-0.478	1.08e-05	amnion associated transmembrane protein
CXXC1	-0.478	1.11e-05	CXXC finger protein 1
CCDC28B	-0.477	1.14e-05	coiled-coil domain containing 28B
SCARB2	0.477	1.16e-05	scavenger receptor class B member 2
NAALADL2	0.477	1.16e-05	N-acetylated alpha-linked acidic dipeptidase like 2
DOPEY2	0.477	1.17e-05	DOP1 leucine zipper like protein B
ARRDC1	0.476	1.19e-05	arrestin domain containing 1
ENTPD7	0.476	1.2e-05	ectonucleoside triphosphate diphosphohydrolase 7
RND1	0.476	1.24e-05	Rho family GTPase 1
C14orf129	0.475	1.25e-05	GSK3B interacting protein
ATP13A4	0.475	1.27e-05	ATPase 13A4
HMGCR	0.474	1.32e-05	3-hydroxy-3-methylglutaryl-CoA reductase
HMGN4	-0.474	1.33e-05	high mobility group nucleosomal binding domain 4
DLG3	0.474	1.34e-05	discs large MAGUK scaffold protein 3
IQGAP2	0.474	1.34e-05	IQ motif containing GTPase activating protein 2
ARHGAP32	0.474	1.36e-05	Rho GTPase activating protein 32
USF2	-0.473	1.4e-05	upstream transcription factor 2, c-fos interacting
TBC1D24	0.473	1.41e-05	TBC1 domain family member 24
PDXDC1	0.472	1.45e-05	pyridoxal dependent decarboxylase domain containing 1
SMAD1	0.472	1.48e-05	SMAD family member 1
ZBTB7B	0.472	1.48e-05	zinc finger and BTB domain containing 7B
RAB3D	0.471	1.52e-05	RAB3D, member RAS oncogene family
NUP88	-0.471	1.53e-05	nucleoporin 88
TNKS1BP1	0.471	1.54e-05	tankyrase 1 binding protein 1
ALCAM	0.47	1.58e-05	activated leukocyte cell adhesion molecule
CNGA2	0.47	1.59e-05	cyclic nucleotide gated channel subunit alpha 2
KRT24	0.47	1.62e-05	keratin 24
CCDC125	0.47	1.62e-05	coiled-coil domain containing 125
DALRD3	0.469	1.67e-05	DALR anticodon binding domain containing 3
C12orf65	-0.469	1.73e-05	mitochondrial translation release factor in rescue
SPATA17	0.468	1.75e-05	spermatogenesis associated 17
GPR98	0.468	1.76e-05	adhesion G protein-coupled receptor V1
FAM151B	0.468	1.76e-05	family with sequence similarity 151 member B
RNF220	-0.468	1.76e-05	ring finger protein 220
LIMA1	0.467	1.82e-05	LIM domain and actin binding 1
SRCIN1	0.467	1.87e-05	SRC kinase signaling inhibitor 1
TPRN	0.466	1.96e-05	taperin
CRAT	0.465	2.05e-05	carnitine O-acetyltransferase
NUPL2	-0.464	2.1e-05	nucleoporin 42
RP9P	-0.464	2.12e-05	RP9 pseudogene
ATP13A5	0.464	2.12e-05	ATPase 13A5
ZNF480	0.464	2.13e-05	zinc finger protein 480
GALNT6	0.463	2.19e-05	polypeptide N-acetylgalactosaminyltransferase 6
SAMD12	0.463	2.23e-05	sterile alpha motif domain containing 12
SNPH	0.462	2.31e-05	syntaphilin
GRM1	0.462	2.32e-05	glutamate metabotropic receptor 1
ANKRD50	0.462	2.38e-05	ankyrin repeat domain containing 50
ZNF350	0.462	2.39e-05	zinc finger protein 350
LEO1	0.461	2.4e-05	LEO1 homolog, Paf1/RNA polymerase II complex component
CD320	-0.461	2.42e-05	CD320 molecule
TC2N	0.461	2.44e-05	tandem C2 domains, nuclear
MFSD4	-0.461	2.49e-05	major facilitator superfamily domain containing 4A
ZNF613	0.459	2.63e-05	zinc finger protein 613
C9orf152	0.459	2.63e-05	chromosome 9 open reading frame 152
NDST1	0.459	2.72e-05	N-deacetylase and N-sulfotransferase 1
HAUS1	-0.459	2.72e-05	HAUS augmin like complex subunit 1
GPR137B	0.459	2.73e-05	G protein-coupled receptor 137B
TBX10	0.458	2.78e-05	T-box transcription factor 10
DFFB	-0.458	2.81e-05	DNA fragmentation factor subunit beta
TTC3	0.458	2.82e-05	tetratricopeptide repeat domain 3
C10orf129	0.458	2.83e-05	acyl-CoA synthetase medium chain family member 6
TSPAN15	0.457	3e-05	tetraspanin 15
C8orf46	-0.456	3.01e-05	vexin
ZBTB7C	0.456	3.06e-05	zinc finger and BTB domain containing 7C
HS6ST3	0.456	3.09e-05	heparan sulfate 6-O-sulfotransferase 3
C1orf230	0.456	3.09e-05	regulatory subunit of type II PKA R-subunit domain containing 1
CDK18	-0.456	3.11e-05	cyclin dependent kinase 18
SCGB2A2	0.455	3.22e-05	secretoglobin family 2A member 2
USP40	0.455	3.28e-05	ubiquitin specific peptidase 40
C14orf147	0.453	3.48e-05	serine palmitoyltransferase small subunit A
PRPF38B	-0.452	3.63e-05	pre-mRNA processing factor 38B
TM9SF3	0.452	3.65e-05	transmembrane 9 superfamily member 3
FIBCD1	0.452	3.73e-05	fibrinogen C domain containing 1
TMEM45B	0.451	3.8e-05	transmembrane protein 45B
TMIE	-0.451	3.81e-05	transmembrane inner ear
TBCB	-0.451	3.83e-05	tubulin folding cofactor B
HPX	0.451	3.9e-05	hemopexin
GOLGA5	0.45	3.95e-05	golgin A5
ADCY3	-0.449	4.15e-05	adenylate cyclase 3
NR1I2	-0.449	4.16e-05	nuclear receptor subfamily 1 group I member 2
TEX9	0.449	4.2e-05	testis expressed 9
KCNJ12	0.448	4.37e-05	potassium inwardly rectifying channel subfamily J member 12
BTBD2	-0.448	4.4e-05	BTB domain containing 2
ACVR1B	0.448	4.41e-05	activin A receptor type 1B
CEACAM7	0.448	4.45e-05	CEA cell adhesion molecule 7
BEST3	0.447	4.54e-05	bestrophin 3
SENP3	-0.447	4.67e-05	SUMO specific peptidase 3
GGCX	0.446	4.76e-05	gamma-glutamyl carboxylase
PEX11A	0.446	4.84e-05	peroxisomal biogenesis factor 11 alpha
LGALS8	0.446	4.88e-05	galectin 8
SDR16C5	0.445	4.97e-05	short chain dehydrogenase/reductase family 16C member 5
LASP1	0.445	5.03e-05	LIM and SH3 protein 1
NEK5	0.445	5.06e-05	NIMA related kinase 5
SEMA3E	0.445	5.11e-05	semaphorin 3E
FAM5C	0.444	5.2e-05	BMP/retinoic acid inducible neural specific 3
SCGN	0.444	5.28e-05	secretagogin, EF-hand calcium binding protein
ZNF91	0.444	5.34e-05	zinc finger protein 91
CCDC113	0.443	5.54e-05	coiled-coil domain containing 113
SELENBP1	0.443	5.56e-05	selenium binding protein 1
ABL1	0.442	5.62e-05	ABL proto-oncogene 1, non-receptor tyrosine kinase
NT5M	-0.442	5.72e-05	5',3'-nucleotidase, mitochondrial
SLC35F5	0.442	5.75e-05	solute carrier family 35 member F5
SPDEF	0.442	5.81e-05	SAM pointed domain containing ETS transcription factor
HSD3B2	0.441	5.91e-05	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2
TNFAIP1	0.441	5.97e-05	TNF alpha induced protein 1
GGCT	0.441	6.09e-05	gamma-glutamylcyclotransferase
CD47	-0.44	6.09e-05	CD47 molecule
REEP1	0.44	6.14e-05	receptor accessory protein 1
DSTN	0.439	6.45e-05	destrin, actin depolymerizing factor
TRIM47	-0.438	6.73e-05	tripartite motif containing 47
CREB3L1	0.438	6.77e-05	cAMP responsive element binding protein 3 like 1
MSGN1	0.438	6.79e-05	mesogenin 1
WWC1	0.438	6.91e-05	WW and C2 domain containing 1
ANKRD39	-0.437	7.07e-05	ankyrin repeat domain 39
RPGRIP1L	0.436	7.38e-05	RPGRIP1 like
TNFRSF14	-0.436	7.4e-05	TNF receptor superfamily member 14
ORAI1	-0.436	7.49e-05	ORAI calcium release-activated calcium modulator 1
PLXNB2	0.436	7.51e-05	plexin B2
NR1D1	0.435	7.58e-05	nuclear receptor subfamily 1 group D member 1
CAPN9	0.435	7.75e-05	calpain 9
SLC35A3	0.435	7.78e-05	solute carrier family 35 member A3
CYP4A22	0.434	7.9e-05	cytochrome P450 family 4 subfamily A member 22
ARHGEF38	0.434	7.91e-05	Rho guanine nucleotide exchange factor 38
ZNF28	0.434	8e-05	zinc finger protein 28
ORMDL2	0.434	8.09e-05	ORMDL sphingolipid biosynthesis regulator 2
LOC646999	0.434	8.1e-05	akirin 1 pseudogene(LOC646999)
PIK3R3	0.434	8.11e-05	phosphoinositide-3-kinase regulatory subunit 3
CAPN12	-0.434	8.13e-05	calpain 12
LCA5L	0.434	8.18e-05	lebercilin LCA5 like
IL27RA	-0.433	8.36e-05	interleukin 27 receptor subunit alpha
RELB	-0.433	8.38e-05	RELB proto-oncogene, NF-kB subunit
TRIP11	0.433	8.49e-05	thyroid hormone receptor interactor 11
ZNF595	0.433	8.51e-05	zinc finger protein 595
CHST4	-0.433	8.54e-05	carbohydrate sulfotransferase 4
NHEJ1	-0.432	8.57e-05	non-homologous end joining factor 1
DNM1P35	-0.432	8.73e-05	dynamin 1 pseudogene 35
NECAP2	-0.432	8.77e-05	NECAP endocytosis associated 2
PROM2	0.432	8.87e-05	prominin 2
TMEM194B	-0.431	9.03e-05	nuclear envelope integral membrane protein 2
C4orf34	0.43	9.37e-05	small integral membrane protein 14
ABTB1	-0.43	9.52e-05	ankyrin repeat and BTB domain containing 1
C16orf5	-0.43	9.53e-05	cell death inducing p53 target 1
MIIP	-0.43	9.6e-05	migration and invasion inhibitory protein
C2CD4A	0.43	9.68e-05	C2 calcium dependent domain containing 4A
EFNA3	0.429	9.8e-05	ephrin A3
TRMT1	-0.429	9.88e-05	tRNA methyltransferase 1
MSX2	0.429	9.89e-05	msh homeobox 2
TMEM39B	-0.429	9.98e-05	transmembrane protein 39B
NCRNA00092	-0.429	0.0001	long intergenic non-protein coding RNA 92
TMUB2	-0.429	0.000101	transmembrane and ubiquitin like domain containing 2
CMTM7	-0.428	0.000101	CKLF like MARVEL transmembrane domain containing 7
DDX6	0.428	0.000103	DEAD-box helicase 6
S100A7A	0.428	0.000105	S100 calcium binding protein A7A
TTLL2	-0.428	0.000105	tubulin tyrosine ligase like 2
DMRTC1B	-0.427	0.000107	DMRT like family C1B
CTNNA1	0.427	0.000107	catenin alpha 1
SLC4A8	0.427	0.000108	solute carrier family 4 member 8
B4GALNT2	0.427	0.000109	beta-1,4-N-acetyl-galactosaminyltransferase 2
