Gene	r	p	Name
MIEN1	0.867	2.4e-24	migration and invasion enhancer 1
STARD3	0.84	2.6200000000000003e-21	StAR related lipid transfer domain containing 3
ERBB4	0.834	4.4300000000000005e-21	erb-b2 receptor tyrosine kinase 4
CDK12	0.711	4.23e-13	cyclin dependent kinase 12
CCNK	0.638	4.25e-10	cyclin K
SPTLC2	0.589	1.77e-08	serine palmitoyltransferase long chain base subunit 2
AKR1B10	0.583	2.61e-08	aldo-keto reductase family 1 member B10
MAP3K9	0.668	6.3e-08	mitogen-activated protein kinase kinase kinase 9
PNMT	0.567	7.76e-08	phenylethanolamine N-methyltransferase
MAP3K10	0.589	2.49e-07	mitogen-activated protein kinase kinase kinase 10
TMEM141	0.644	2.55e-07	transmembrane protein 141
ASRGL1	0.545	2.92e-07	asparaginase and isoaspartyl peptidase 1
PPP1R10	0.535	5.27e-07	protein phosphatase 1 regulatory subunit 10
POR	0.509	2.26e-06	cytochrome p450 oxidoreductase
SREK1IP1	-0.615	2.55e-06	SREK1 interacting protein 1
GFUS	0.505	2.82e-06	GDP-L-fucose synthase
GGCT	0.502	3.23e-06	gamma-glutamylcyclotransferase
WBP2	-0.496	4.6e-06	WW domain binding protein 2
KMO	0.578	4.73e-06	kynurenine 3-monooxygenase
FHOD1	0.49	5.98e-06	formin homology 2 domain containing 1
TRIM65	-0.488	6.77e-06	tripartite motif containing 65
COPB2	0.487	6.9e-06	COPI coat complex subunit beta 2
GALNT6	0.486	7.38e-06	polypeptide N-acetylgalactosaminyltransferase 6
SPTLC1	0.486	7.38e-06	serine palmitoyltransferase long chain base subunit 1
SMAD4	-0.485	7.65e-06	SMAD family member 4
TOX4	0.485	7.89e-06	TOX high mobility group box family member 4
SEC16A	0.484	8.16e-06	SEC16 homolog A, endoplasmic reticulum export factor
PRODH	0.484	8.41e-06	proline dehydrogenase 1
MAP3K21	0.598	9e-06	mitogen-activated protein kinase kinase kinase 21
ABHD11	0.482	9.26e-06	abhydrolase domain containing 11
SGSM3	0.479	1.04e-05	small G protein signaling modulator 3
TBCB	-0.477	1.16e-05	tubulin folding cofactor B
XPNPEP3	0.477	1.18e-05	X-prolyl aminopeptidase 3
ZBED3	-0.733	1.38e-05	zinc finger BED-type containing 3
SDR16C5	0.471	1.53e-05	short chain dehydrogenase/reductase family 16C member 5
LDLR	-0.596	1.56e-05	low density lipoprotein receptor
DHCR24	0.471	1.56e-05	24-dehydrocholesterol reductase
ESRP2	0.468	1.81e-05	epithelial splicing regulatory protein 2
ANO10	0.465	2.01e-05	anoctamin 10
FN3K	-0.465	2.02e-05	fructosamine 3 kinase
FDFT1	0.463	2.21e-05	farnesyl-diphosphate farnesyltransferase 1
SLC12A8	0.72	2.33e-05	solute carrier family 12 member 8
ATP2C2	0.52	2.48e-05	ATPase secretory pathway Ca2+ transporting 2
LTN1	0.458	2.77e-05	listerin E3 ubiquitin protein ligase 1
AKR1B15	0.456	3.07e-05	aldo-keto reductase family 1 member B15
COPB1	0.455	3.21e-05	COPI coat complex subunit beta 1
TMED3	0.452	3.63e-05	transmembrane p24 trafficking protein 3
VMP1	0.471	3.95e-05	vacuole membrane protein 1
COPA	0.446	4.8e-05	COPI coat complex subunit alpha
TC2N	0.445	4.98e-05	tandem C2 domains, nuclear
MBD3	-0.444	5.18e-05	methyl-CpG binding domain protein 3
CDK13	0.441	5.99e-05	cyclin dependent kinase 13
SEL1L	0.44	6.12e-05	SEL1L adaptor subunit of ERAD E3 ubiquitin ligase
RAB43	0.44	6.14e-05	RAB43, member RAS oncogene family
ORMDL3	0.561	6.14e-05	ORMDL sphingolipid biosynthesis regulator 3
CSTF3	0.436	7.24e-05	cleavage stimulation factor subunit 3
DHRS7B	0.433	8.5e-05	dehydrogenase/reductase 7B
FBXL18	0.432	8.71e-05	F-box and leucine rich repeat protein 18
WIPF2	0.432	8.75e-05	WAS/WASL interacting protein family member 2
CAPN13	0.435	8.78e-05	calpain 13
FBXL19	-0.508	8.81e-05	F-box and leucine rich repeat protein 19
SMC3	-0.431	9.04e-05	structural maintenance of chromosomes 3
PTRH1	0.43	9.43e-05	peptidyl-tRNA hydrolase 1 homolog
CDC42BPG	0.428	0.000101	CDC42 binding protein kinase gamma
DHX33	-0.437	0.000101	DEAH-box helicase 33
TNIK	0.427	0.000109	TRAF2 and NCK interacting kinase
LDLRAP1	0.425	0.000119	low density lipoprotein receptor adaptor protein 1
DEGS1	0.472	0.000122	delta 4-desaturase, sphingolipid 1
DOP1B	0.424	0.000122	DOP1 leucine zipper like protein B
LRATD2	0.424	0.000124	LRAT domain containing 2
AR	0.423	0.000128	androgen receptor
GPAA1	0.444	0.000134	glycosylphosphatidylinositol anchor attachment 1
ACOT8	0.42	0.000141	acyl-CoA thioesterase 8
CASP14	0.419	0.00015	caspase 14
ZMYM5	-0.514	0.00016	zinc finger MYM-type containing 5
ELF4	-0.465	0.000162	E74 like ETS transcription factor 4
PLXNB2	0.417	0.000162	plexin B2
COPG1	0.417	0.000164	COPI coat complex subunit gamma 1
GALNT7	0.416	0.000165	polypeptide N-acetylgalactosaminyltransferase 7
RAB3A	0.416	0.000171	RAB3A, member RAS oncogene family
TIGD5	-0.431	0.000175	tigger transposable element derived 5
MAB21L4	0.491	0.00019	mab-21 like 4
PSIP1	-0.413	0.000193	PC4 and SFRS1 interacting protein 1
TRA2B	-0.412	0.000195	transformer 2 beta homolog
C2orf49	-0.411	0.000202	chromosome 2 open reading frame 49
ATP13A1	0.411	0.000205	ATPase 13A1
GNPNAT1	0.411	0.000205	glucosamine-phosphate N-acetyltransferase 1
CLGN	0.41	0.000209	calmegin
SEC23B	0.409	0.000221	SEC23 homolog B, COPII coat complex component
DPM1	0.408	0.000234	dolichyl-phosphate mannosyltransferase subunit 1, catalytic
SPAG7	-0.406	0.000246	sperm associated antigen 7
EIF5	0.406	0.000252	eukaryotic translation initiation factor 5
GLYATL2	0.405	0.000256	glycine-N-acyltransferase like 2
ZMYND11	-0.405	0.000263	zinc finger MYND-type containing 11
ALDH18A1	0.404	0.000267	aldehyde dehydrogenase 18 family member A1
RAB24	0.403	0.000277	RAB24, member RAS oncogene family
TMED9	0.402	0.000286	transmembrane p24 trafficking protein 9
COMT	0.402	0.000287	catechol-O-methyltransferase
HDLBP	0.402	0.000287	high density lipoprotein binding protein
STMND1	-0.549	0.000296	stathmin domain containing 1
GRAMD4	0.413	0.000311	GRAM domain containing 4
CRAT	0.4	0.000316	carnitine O-acetyltransferase
ALCAM	0.399	0.000329	activated leukocyte cell adhesion molecule
GBA	0.398	0.000339	glucosylceramidase beta
RAB3D	0.396	0.00037	RAB3D, member RAS oncogene family
ATL3	0.394	0.000387	atlastin GTPase 3
FGD1	-0.399	0.000388	FYVE, RhoGEF and PH domain containing 1
SAP30	-0.399	0.000395	Sin3A associated protein 30
RAB3GAP1	0.394	0.000397	RAB3 GTPase activating protein catalytic subunit 1
DNAJC30	0.539	0.000397	DnaJ heat shock protein family (Hsp40) member C30
LMNB2	-0.393	0.000401	lamin B2
RPA1	-0.392	0.000422	replication protein A1
IDI1	0.391	0.000434	isopentenyl-diphosphate delta isomerase 1
SMC6	-0.39	0.000462	structural maintenance of chromosomes 6
MED1	0.389	0.000463	mediator complex subunit 1
RPN2	0.388	0.000491	ribophorin II
LRRC41	-0.387	0.000507	leucine rich repeat containing 41
SCYL3	0.386	0.000525	SCY1 like pseudokinase 3
GFRA2	-0.445	0.000527	GDNF family receptor alpha 2
ATP2A1	0.385	0.000546	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1
THADA	0.385	0.000552	THADA armadillo repeat containing
STEEP1	-0.384	0.000562	STING1 ER exit protein 1
FASN	0.382	0.000612	fatty acid synthase
SH3BP4	0.382	0.000616	SH3 domain binding protein 4
GALK2	0.382	0.000619	galactokinase 2
ATN1	-0.388	0.000641	atrophin 1
PHETA2	0.571	0.000644	PH domain containing endocytic trafficking adaptor 2
SCARB2	0.38	0.000645	scavenger receptor class B member 2
GFPT1	0.38	0.000658	glutamine--fructose-6-phosphate transaminase 1
ABI2	-0.379	0.00068	abl interactor 2
RAB3C	0.378	0.000691	RAB3C, member RAS oncogene family
HSP90AA1	0.377	0.000724	heat shock protein 90 alpha family class A member 1
MED8	-0.377	0.000734	mediator complex subunit 8
PDXDC1	0.376	0.000747	pyridoxal dependent decarboxylase domain containing 1
SLC35A2	0.437	0.000756	solute carrier family 35 member A2
COPE	0.376	0.000762	COPI coat complex subunit epsilon
DERL1	0.383	0.000764	derlin 1
NDOR1	0.374	0.000797	NADPH dependent diflavin oxidoreductase 1
RAB3GAP2	0.374	0.000799	RAB3 GTPase activating non-catalytic protein subunit 2
USP40	0.374	0.000804	ubiquitin specific peptidase 40
OPTN	-0.374	0.000807	optineurin
ACYP2	-0.373	0.000846	acylphosphatase 2
MUC17	-0.395	0.000846	mucin 17, cell surface associated
ACACA	0.372	0.000856	acetyl-CoA carboxylase alpha
ORMDL1	0.489	0.000888	ORMDL sphingolipid biosynthesis regulator 1
MBIP	-0.383	0.000889	MAP3K12 binding inhibitory protein 1
AACS	0.37	0.000911	acetoacetyl-CoA synthetase
FAM168B	0.375	0.000913	family with sequence similarity 168 member B
FBXL2	0.454	0.000919	F-box and leucine rich repeat protein 2
TGFB1	-0.37	0.000927	transforming growth factor beta 1
VTI1B	0.37	0.000938	vesicle transport through interaction with t-SNAREs 1B
SENP6	-0.392	0.000958	SUMO specific peptidase 6
CMTM6	0.563	0.00097	CKLF like MARVEL transmembrane domain containing 6
IQGAP2	0.369	0.000972	IQ motif containing GTPase activating protein 2
FAR1	0.39	0.00102	fatty acyl-CoA reductase 1
ARHGAP32	0.367	0.00102	Rho GTPase activating protein 32
NAA35	0.367	0.00104	N-alpha-acetyltransferase 35, NatC auxiliary subunit
COPZ1	0.367	0.00104	COPI coat complex subunit zeta 1
POLK	-0.383	0.00105	DNA polymerase kappa
GPR107	0.373	0.00106	G protein-coupled receptor 107
SMC1A	-0.366	0.00107	structural maintenance of chromosomes 1A
YKT6	0.366	0.00107	YKT6 v-SNARE homolog
ACLY	0.365	0.00108	ATP citrate lyase
SNAPC3	-0.496	0.00112	small nuclear RNA activating complex polypeptide 3
CRYM	0.369	0.00112	crystallin mu
BET1	0.368	0.00116	Bet1 golgi vesicular membrane trafficking protein
MUCL1	0.363	0.00116	mucin like 1
GPATCH8	-0.363	0.00117	G-patch domain containing 8
CCDC106	-0.572	0.00119	coiled-coil domain containing 106
CKAP4	0.363	0.0012	cytoskeleton associated protein 4
TRAPPC10	0.362	0.0012	trafficking protein particle complex subunit 10
MIA2	0.362	0.0012	MIA SH3 domain ER export factor 2
SMPD1	0.389	0.00125	sphingomyelin phosphodiesterase 1
MTUS1	0.36	0.0013	microtubule associated scaffold protein 1
ARHGEF2	-0.36	0.00131	Rho/Rac guanine nucleotide exchange factor 2
SRBD1	0.359	0.00132	S1 RNA binding domain 1
HPRT1	-0.36	0.00132	hypoxanthine phosphoribosyltransferase 1
PIGS	0.359	0.00136	phosphatidylinositol glycan anchor biosynthesis class S
OS9	0.359	0.00136	OS9 endoplasmic reticulum lectin
GRIN2B	0.566	0.00137	glutamate ionotropic receptor NMDA type subunit 2B
CEP135	-0.358	0.0014	centrosomal protein 135
GSTO1	-0.358	0.00141	glutathione S-transferase omega 1
FBXL20	0.393	0.00142	F-box and leucine rich repeat protein 20
VBP1	-0.357	0.00144	VHL binding protein 1
GTF2F1	-0.357	0.00146	general transcription factor IIF subunit 1
IFT27	0.357	0.00146	intraflagellar transport 27
ABHD4	0.359	0.00147	abhydrolase domain containing 4, N-acyl phospholipase B
GOLGA8O	-0.426	0.00148	golgin A8 family member O
LMNB1	-0.356	0.00149	lamin B1
CLIC3	0.356	0.00149	chloride intracellular channel 3
E2F4	-0.356	0.0015	E2F transcription factor 4
DESI1	0.372	0.00152	desumoylating isopeptidase 1
RAMAC	-0.355	0.00153	RNA guanine-7 methyltransferase activating subunit
TRAPPC9	0.355	0.00153	trafficking protein particle complex subunit 9
RBM15B	0.355	0.00154	RNA binding motif protein 15B
CYP4X1	0.39	0.00156	cytochrome P450 family 4 subfamily X member 1
THEM6	0.355	0.00156	thioesterase superfamily member 6
INF2	0.355	0.00156	inverted formin 2
CEP250	-0.354	0.00159	centrosomal protein 250
NAALADL2	0.373	0.0016	N-acetylated alpha-linked acidic dipeptidase like 2
UGGT1	0.354	0.0016	UDP-glucose glycoprotein glucosyltransferase 1
FBXL6	0.36	0.00162	F-box and leucine rich repeat protein 6
UPF3A	-0.37	0.00163	UPF3A regulator of nonsense mediated mRNA decay
TERF2	0.353	0.00165	telomeric repeat binding factor 2
PASK	-0.388	0.00166	PAS domain containing serine/threonine kinase
GCOM1	-0.353	0.00166	GCOM1, MYZAP-POLR2M combined locus
WDR26	0.352	0.00167	WD repeat domain 26
UNK	-0.352	0.00167	unk zinc finger
PACSIN2	0.352	0.00167	protein kinase C and casein kinase substrate in neurons 2
HECA	-0.352	0.00168	hdc homolog, cell cycle regulator
NBAS	0.352	0.00171	NBAS subunit of NRZ tethering complex
MLLT1	-0.352	0.00171	MLLT1 super elongation complex subunit
GRIN1	0.606	0.00172	glutamate ionotropic receptor NMDA type subunit 1
POLR2M	-0.351	0.00174	RNA polymerase II subunit M
BNIP2	-0.351	0.00175	BCL2 interacting protein 2
NAPEPLD	-0.402	0.00177	N-acyl phosphatidylethanolamine phospholipase D
DNAJC9	-0.351	0.00177	DnaJ heat shock protein family (Hsp40) member C9
ITPR3	0.351	0.00177	inositol 1,4,5-trisphosphate receptor type 3
RPRD2	-0.35	0.00178	regulation of nuclear pre-mRNA domain containing 2
TM9SF2	0.35	0.0018	transmembrane 9 superfamily member 2
GLYATL1	0.364	0.00181	glycine-N-acyltransferase like 1
DNAJB6	-0.35	0.00182	DnaJ heat shock protein family (Hsp40) member B6
PAFAH1B1	-0.35	0.00182	platelet activating factor acetylhydrolase 1b regulatory subunit 1
HSPBAP1	-0.397	0.00186	HSPB1 associated protein 1
CLASRP	-0.356	0.00186	CLK4 associating serine/arginine rich protein
SOX9	-0.349	0.00187	SRY-box transcription factor 9
ERG	-0.379	0.00188	ETS transcription factor ERG
TMEM68	0.535	0.00191	transmembrane protein 68
ZNF718	0.377	0.00194	zinc finger protein 718
AGBL3	-0.527	0.00196	AGBL carboxypeptidase 3
PGGT1B	-0.347	0.00196	protein geranylgeranyltransferase type I subunit beta
RAB4A	0.347	0.00197	RAB4A, member RAS oncogene family
DUS3L	-0.347	0.002	dihydrouridine synthase 3 like
NSMCE3	-0.347	0.00202	NSE3 homolog, SMC5-SMC6 complex component
KANK1	-0.346	0.00202	KN motif and ankyrin repeat domains 1
SRPRB	0.346	0.00205	SRP receptor subunit beta
HM13	0.353	0.00206	histocompatibility minor 13
ERGIC1	0.346	0.00206	endoplasmic reticulum-golgi intermediate compartment 1
CIR1	-0.35	0.00207	corepressor interacting with RBPJ, CIR1
CYP51A1	0.352	0.00207	cytochrome P450 family 51 subfamily A member 1
PRUNE2	-0.406	0.00208	prune homolog 2 with BCH domain
GPATCH11	-0.352	0.0021	G-patch domain containing 11
PLEKHG2	-0.389	0.0021	pleckstrin homology and RhoGEF domain containing G2
WFS1	0.351	0.00214	wolframin ER transmembrane glycoprotein
BRD9	-0.345	0.00215	bromodomain containing 9
THAP12	-0.345	0.00215	THAP domain containing 12
SCGB2A2	0.515	0.00216	secretoglobin family 2A member 2
SHARPIN	0.344	0.00219	SHANK associated RH domain interactor
TBCD	-0.343	0.00225	tubulin folding cofactor D
JAG1	-0.493	0.00226	jagged canonical Notch ligand 1
VWA5A	0.343	0.00227	von Willebrand factor A domain containing 5A
GIGYF1	-0.343	0.00229	GRB10 interacting GYF protein 1
HMGCS1	0.342	0.00231	3-hydroxy-3-methylglutaryl-CoA synthase 1
RBBP8	-0.416	0.00238	RB binding protein 8, endonuclease
GOLGA5	0.341	0.00238	golgin A5
SETD3	0.341	0.00239	SET domain containing 3, actin histidine methyltransferase
CCDC50	-0.341	0.0024	coiled-coil domain containing 50
BPNT2	0.341	0.0024	3'(2'), 5'-bisphosphate nucleotidase 2
ZNF695	0.391	0.00242	zinc finger protein 695
ZMPSTE24	0.34	0.00245	zinc metallopeptidase STE24
