Gene,basal_avg,basal_down,basal_up,her2_avg,her2_down,her2_up,lumA_avg,lumA_down,lumA_up,lumB_avg,lumB_down,lumB_up,norm_avg,norm_down,norm_up
A1BG,-0.242330484,-1.229622982,0.744962014,-0.032669828,-1.419867326,1.354527671,0.018739893,-0.657456107,0.694935894,-0.650043616,-1.328321184,0.028233951,0.906304035,0.321891444,1.490716626
A2M,0.094895298,-0.729227631,0.919018227,-0.195498092,-1.362832104,0.971835919,-0.346066792,-1.073854868,0.381721284,-0.551767009,-1.423868864,0.320334846,0.998436595,0.197769625,1.799103565
A2ML1,1.583463466,0.578097256,2.588829676,-0.52587431,-0.861263439,-0.19048518,-0.055775811,-0.71940932,0.607857698,-0.799336375,-0.951765502,-0.646907248,-0.20247697,-0.573682633,0.168728693
A3GALT2,0,0,0,-0.018369748,-1.423373327,1.386633832,0,0,0,-0.856199314,-2.420746209,0.708347581,0.583046041,0.369152996,0.796939087
A4GALT,0,0,0,0.187083239,-0.877651675,1.251818154,0,0,0,-0.68076992,-1.034471257,-0.327068583,0.493686681,-0.710732554,1.698105915
AAAS,1.02933278,-0.12217889,2.18084445,-0.563740907,-1.44625529,0.318773476,-0.035218806,-1.021754328,0.951316715,0.092822722,-0.535765879,0.721411322,-0.523195788,-1.055434675,0.0090431
AACS,-0.108960734,-1.168504339,0.950582871,-0.247906461,-1.112223773,0.616410851,-0.263459222,-1.149237207,0.622318763,0.139732213,-0.972111097,1.251575524,0.480594203,-0.656126283,1.61731469
AADAT,1.217040652,0.272523291,2.161558013,-0.179314842,-0.864343167,0.505713483,-0.440490559,-1.101228518,0.2202474,-0.493466927,-1.471068995,0.484135141,-0.103768324,-0.918927899,0.711391251
AAED1,0.362513764,-0.448630317,1.173657845,-0.221442569,-1.453064339,1.010179201,-0.020956108,-0.31779469,0.275882473,-0.793471357,-1.553708314,-0.0332344,0.67335627,-0.493774766,1.840487305
AAGAB,-0.682704284,-2.013976998,0.648568431,0.327102344,-0.510644198,1.164848886,0.414457244,-0.546416569,1.375331056,0.475199568,-0.236137918,1.186537054,-0.534054872,-1.089701723,0.02159198
AAK1,-0.143807419,-1.104287047,0.81667221,0.311296222,-0.453187779,1.075780223,-0.3817862,-1.256603004,0.493030604,0.183815291,-1.420638721,1.788269303,0.030482106,-0.635208638,0.696172849
AAMDC,-0.962011356,-1.53237927,-0.391643442,0.046365562,-0.517773548,0.610504673,0.346157246,-0.612948045,1.305262537,0.468740152,-1.041594567,1.979074871,0.100748395,-0.485307966,0.686804756
AAMP,-0.338713229,-1.653026693,0.975600235,0.335748579,-0.866633693,1.538130851,-0.106508745,-0.972360088,0.759342599,0.433951613,-0.247814924,1.11571815,-0.324478218,-1.12348078,0.474524344
AAR2,0.032320457,-0.903987741,0.968628656,0.534178415,-0.355630669,1.423987499,-0.511105651,-1.78385045,0.761639147,0.646442763,-0.138592054,1.43147758,-0.701835984,-0.984794145,-0.418877823
AARD,0.771967585,0.024972345,1.518962824,0,0,0,-0.964959481,-1.110716693,-0.819202268,0,0,0,0,0,0
AARS,0.164323453,-0.779390393,1.1080373,0.229842138,-0.421618468,0.881302745,-0.635222952,-2.016811043,0.746365138,0.297239474,-0.884702079,1.479181027,-0.056182114,-0.654120685,0.541756458
