Gene,basal_avg,basal_down,basal_up,her2_avg,her2_down,her2_up,lumA_avg,lumA_down,lumA_up,lumB_avg,lumB_down,lumB_up,norm_avg,norm_down,norm_up
A1BG,-0.317103474,-0.46491325,-0.169293698,0.149134828,-0.137892556,0.436162212,0.340401624,0.196763532,0.484039716,-0.676939429,-0.790781039,-0.563097819,-0.157361824,-0.484260131,0.169536483
A2M,0.073250775,-0.086951943,0.233453493,0.138216375,-0.233945206,0.510377956,0.093943845,-0.041250482,0.229138172,-0.628091684,-0.77606513,-0.480118238,0.252691552,-0.17759394,0.682977044
A2ML1,1.122231651,0.939507675,1.304955627,0.35268779,0.167574065,0.537801515,-0.489095363,-0.572438504,-0.405752222,-0.631334016,-0.772446665,-0.490221367,0.225753406,-0.100898964,0.552405776
AAAS,0.640227114,0.470825162,0.809629066,0.168809451,-0.015641443,0.353260345,-0.330583712,-0.459633803,-0.201533621,-0.113827849,-0.387597367,0.159941669,-0.030314717,-0.135291817,0.074662383
AACS,-0.393163073,-0.551599785,-0.234726361,1.166419588,0.721249962,1.611589214,-0.098442489,-0.179865302,-0.017019676,-0.12902544,-0.269205691,0.011154811,0.575301847,-0.231595142,1.382198836
AADAT,0.113725258,-0.015295452,0.242745968,1.211585263,0.578692944,1.844477582,-0.296144741,-0.404066062,-0.18822342,-0.567148678,-0.804162546,-0.33013481,0.331268297,-0.10613246,0.768669054
AAED1,-0.121205256,-0.322693577,0.080283065,-0.227430899,-0.52412246,0.069260662,0.176064775,-0.0050809,0.35721045,-0.358912607,-0.616333048,-0.101492166,0.433269567,0.081423473,0.785115661
AAGAB,-0.871995214,-1.021603783,-0.722386645,0.115391987,-0.138728132,0.369512106,0.3455222,0.231357297,0.459687103,0.29482034,0.074865622,0.514775058,-0.206867559,-0.780261553,0.366526435
AAK1,-0.25882015,-0.449177284,-0.068463016,0.48468997,0.250884342,0.718495598,0.054908097,-0.060034743,0.169850937,-0.17981573,-0.517498909,0.157867449,0.129446132,-0.28299638,0.541888644
AAMDC,-0.487765365,-0.616439886,-0.359090844,-0.262098131,-0.404521034,-0.119675228,0.279663554,0.126463037,0.432864071,0.249348204,0.045528889,0.453167519,-0.473034521,-0.928651292,-0.01741775
AAMP,-0.172513766,-0.376352143,0.031324611,-0.453291124,-0.66711263,-0.239469618,0.05713961,-0.073587514,0.187866734,0.391616793,0.158686393,0.624547193,0.286906342,-0.142516455,0.716329139
AAR2,0.29067236,0.125286432,0.456058288,0.446068242,0.181887241,0.710249243,-0.309692156,-0.445396528,-0.173987784,0.189965697,-0.027261214,0.407192608,-0.050283555,-0.505311105,0.404743995
AARS,0.47421013,0.301581126,0.646839134,0.654631521,0.322278792,0.98698425,-0.358879052,-0.473613285,-0.244144819,-0.171822062,-0.390274089,0.046629965,0.092029184,-0.24652479,0.430583158
AARS2,0.254837466,0.022819542,0.48685539,-0.125468751,-0.27405472,0.023117218,-0.1074959,-0.242454269,0.027462469,0.281821445,0.122938239,0.440704651,-0.859484456,-1.129596002,-0.58937291
AARSD1,-0.470490301,-0.604741041,-0.336239561,-0.432583883,-0.797737488,-0.067430278,0.458362453,0.343396911,0.573327995,-0.212917832,-0.457397449,0.031561785,-0.561332712,-0.815342571,-0.307322853
AASDHPPT,0.064072246,-0.108987536,0.237132028,0.426050527,0.178769099,0.673331955,-0.069781991,-0.194544592,0.05498061,-0.241543168,-0.57378408,0.090697744,0.052200962,-0.328480566,0.43288249
AASS,-0.416395933,-0.551155864,-0.281636002,-0.188218145,-0.383812154,0.007375864,0.37091934,0.230494098,0.511344582,-0.436579946,-0.630729154,-0.242430738,0.197998561,-0.519357634,0.915354756
AATF,0.953738927,0.786867654,1.1206102,-0.1214055,-0.447066668,0.204255668,-0.394585094,-0.49678,-0.292390188,-0.111590359,-0.276745291,0.053564573,-0.314073079,-0.711963975,0.083817817
ABAT,-1.064004179,-1.132740257,-0.995268101,-0.6445654,-0.787617425,-0.501513375,0.688134909,0.577489607,0.798780211,0.209538866,0.061195343,0.357882389,-0.581162749,-0.836309538,-0.32601596
ABCA1,0.038961911,-0.125428009,0.203351831,-0.268830727,-0.466472162,-0.071189292,-0.095606372,-0.21947561,0.028262866,0.300101652,-0.102944856,0.70314816,0.54166783,0.136180642,0.947155018
ABCA12,-0.400065677,-0.570252101,-0.229879253,0.728730579,0.350882004,1.106579154,-0.132728352,-0.293035204,0.0275785,0.083552309,-0.206867687,0.373972305,0.527857842,-0.069013619,1.124729303
ABCA13,-0.678870627,-0.901268429,-0.456472825,-0.093633415,-0.263030029,0.075763199,0.280999813,0.168430457,0.393569169,0.219714475,-0.006708389,0.446137339,0.249196121,-0.144648006,0.643040248
ABCA2,-0.136746271,-0.439768703,0.166276161,-0.107918769,-0.330250838,0.1144133,-0.079315652,-0.249107748,0.090476444,0.380587569,0.1048932,0.656281938,0.573396891,0.106117094,1.040676688
ABCA3,-0.459438475,-0.619378461,-0.299498489,-0.017233204,-0.337129217,0.302662809,0.199756645,0.068147352,0.331365938,0.353395183,0.036906934,0.669883432,-0.679248598,-1.123871011,-0.234626185
ABCA6,0.221193624,-0.161857118,0.604244366,0.518943316,0.240837709,0.797048923,-0.258971102,-0.412537468,-0.105404736,-0.097397755,-0.397484291,0.202688781,0.364519243,-0.296545177,1.025583663
ABCA8,-0.123276646,-0.475932782,0.22937949,0.117849065,-0.516898823,0.752596953,-0.061761002,-0.308530507,0.185008503,-0.316489436,-0.520110936,-0.112867936,2.763523109,0,0
ABCB1,-0.406055414,-0.632223159,-0.179887669,-0.325890148,-0.610573426,-0.04120687,0.209439453,0.016528868,0.402350038,0.178589045,-0.211275254,0.568453344,0.186441647,-0.254226051,0.627109345
ABCB10,0.139674749,-0.035667971,0.315017469,0.257287364,-0.07257617,0.587150898,-0.180725485,-0.30762208,-0.05382889,0.209332029,-0.060227501,0.478891559,-0.181976532,-0.482203249,0.118250185
ABCB5,-0.270686227,-0.494431199,-0.046941255,0.155309839,-0.30007694,0.610696618,0.113799452,-0.061558796,0.2891577,-0.445378711,-0.747848078,-0.142909344,0.971318131,0.403398738,1.539237524
