Gene,basal_avg,basal_down,basal_up,her2_avg,her2_down,her2_up,lumA_avg,lumA_down,lumA_up,lumB_avg,lumB_down,lumB_up
A1BG,0.334207283,0.096157616,0.572256949,-0.027839788,-0.335515395,0.279835818,0.0887278,-0.154229192,0.331684792,-0.321766376,-0.472910078,-0.170622674
A1CF,-0.490535764,-0.699586245,-0.281485283,0.50473802,0.385672924,0.623803117,-0.160584094,-0.361835083,0.040666895,0.269425903,0.030397789,0.508454017
A2M,0.678550913,0.461598703,0.895503122,-0.077272037,-0.338454331,0.183910257,-0.102777599,-0.326176462,0.120621265,-0.371781967,-0.544252887,-0.199311048
A2ML1,0.869176313,0.603719308,1.134633318,-0.043041606,-0.335803913,0.249720701,-0.405272313,-0.647085443,-0.163459182,-0.233669271,-0.361584436,-0.105754106
AAAS,0.04154021,-0.182777919,0.265858338,0.341134887,0.114254609,0.568015165,-0.269568431,-0.477353756,-0.061783106,0.056613812,-0.175677949,0.288905573
AACS,-0.147313429,-0.443065883,0.148439025,0.591658198,0.339992845,0.84332355,-0.166027575,-0.369104377,0.037049227,-0.026234268,-0.195228858,0.142760323
AAGAB,-0.872316652,-1.042044452,-0.702588852,0.200141456,-0.076749553,0.477032465,0.119915588,-0.062746375,0.302577551,0.439247656,0.239415492,0.63907982
AAK1,-0.005418428,-0.294840362,0.284003507,-0.332677412,-0.528706717,-0.136648107,0.22918953,0.002403492,0.455975569,-0.04923744,-0.228183507,0.129708627
AAMDC,-0.065557005,-0.227893693,0.096779684,-0.197158872,-0.458698,0.064380255,0.190659553,-0.049348712,0.430667819,-0.034968216,-0.26555472,0.195618289
AAMP,-0.047924934,-0.280960295,0.185110427,0.080732501,-0.249727478,0.411192479,-0.230057874,-0.421025218,-0.03909053,0.216049579,0.002991182,0.429107976
AAR2,-0.081178998,-0.265781669,0.103423673,0.286779369,0.004978438,0.5685803,-0.562530708,-0.760194412,-0.364867005,0.456586493,0.252760491,0.660412495
AARS1,0.530542449,0.308777554,0.752307343,0.067159452,-0.219842645,0.354161549,-0.559995487,-0.742488799,-0.377502175,0.105175779,-0.092764598,0.303116156
AARS2,0.317586331,0.085840224,0.549332437,-0.336339053,-0.579654954,-0.093023152,-0.278829846,-0.50268264,-0.054977052,0.197191714,-0.00016888,0.394552308
AARSD1,-0.557498781,-0.717929545,-0.397068017,0.179878514,-0.174551419,0.534308447,0.263706296,0.092789845,0.434622746,0.075466295,-0.157822514,0.308755104
AASDHPPT,-0.24213732,-0.381822368,-0.102452273,0.169125136,-0.129087718,0.46733799,-0.113482331,-0.328513323,0.101548662,0.205794323,-0.03938626,0.450974906
AASS,0.005262534,-0.253473772,0.26399884,-0.327335413,-0.625519897,-0.029150929,0.613031663,0.405501375,0.82056195,-0.427767871,-0.553050251,-0.30248549
AATF,0.563378001,0.29067818,0.836077823,0.285754534,-0.027206833,0.5987159,-0.614177015,-0.754357501,-0.473996529,0.023175538,-0.147025615,0.193376692
ABAT,-0.874792429,-0.987820658,-0.7617642,-0.446518299,-0.637746394,-0.255290204,0.775782088,0.553901494,0.997662682,0.135895637,-0.016976025,0.288767299
ABCA1,-0.040926129,-0.308896939,0.227044681,-0.079328518,-0.463244844,0.304587808,-0.068699744,-0.318035962,0.180636474,0.146574515,-0.117745112,0.410894142
ABCA10,-0.470737615,-0.714408976,-0.227066254,-0.657495013,-0.958673965,-0.35631606,0.271827333,0.002949337,0.540705328,0.238390188,-0.163686494,0.64046687
ABCA12,0.177951665,-0.083530974,0.439434304,-0.57501159,-0.884468992,-0.265554188,-0.076391624,-0.267150275,0.114367026,0.248801981,0.043776533,0.45382743
ABCA13,-0.108794948,-0.290134175,0.072544279,-0.243467433,-0.725210495,0.238275629,0.081271884,-0.095477002,0.258020769,0.125444372,-0.060287413,0.311176157
ABCA2,-0.056367277,-0.287489578,0.174755023,-0.057228206,-0.576189714,0.461733303,-0.001009228,-0.390116836,0.38809838,0.086162794,-0.191688389,0.364013976
ABCA3,-0.396865965,-0.546470709,-0.247261221,-0.455743065,-0.649906354,-0.261579776,0.50735092,0.181542659,0.833159182,-0.036448557,-0.306337806,0.233440692
