Gene,basal_avg,basal_down,basal_up,her2_avg,her2_down,her2_up,lumA_avg,lumA_down,lumA_up,lumB_avg,lumB_down,lumB_up,norm_avg,norm_down,norm_up
A1BG,-0.207045093,-0.442200484,0.028110298,-0.201846523,-0.656929507,0.253236461,0.144991504,-0.021397913,0.31138092,0.11725689,-0.051168645,0.285682426,,,
A1CF,-0.207194764,-0.352764401,-0.061625127,0.538193418,0.200329037,0.876057798,-0.35004815,-0.404111732,-0.295984568,0.221762175,-0.062873052,0.506397402,,,
A2BP1,-0.342232819,-0.4549984,-0.229467238,0.027351502,-0.203184109,0.257887112,-0.047838481,-0.264751444,0.169074483,0.288844074,0.029547988,0.54814016,,,
A2LD1,0.048096015,-0.215531917,0.311723947,-0.034213502,-0.335520794,0.26709379,-0.026728703,-0.179144931,0.125687525,0.006649747,-0.230029489,0.243328983,,,
A2M,0.402989311,0.054892351,0.751086271,-0.018795329,-0.153212527,0.11562187,0.208457737,0.032337245,0.384578229,-0.492616316,-0.634358979,-0.350873654,,,
A2ML1,1.051888608,0.806854932,1.296922284,0.638816609,0.429821493,0.847811725,-0.67161807,-0.726787329,-0.616448811,-0.464690777,-0.598955881,-0.330425673,,,
A4GALT,0.251898329,0.051100311,0.452696348,-0.514105284,-0.769675546,-0.258535022,0.076162834,-0.131812134,0.284137803,-0.004860488,-0.232904684,0.223183708,,,
A4GNT,0.192032909,-0.046013312,0.430079131,-0.329509416,-0.533473904,-0.125544928,-0.027386428,-0.256064869,0.201292012,0.046975353,-0.164434759,0.258385465,,,
AAA1,-0.260528954,-0.260528954,-0.260528954,-0.099172478,-0.260528954,0.062183999,0.443058363,0.092113063,0.794003663,-0.179614642,-0.260528954,-0.09870033,,,
AAAS,-0.765401931,-0.947119563,-0.583684299,0.180893076,-0.073591015,0.435377166,0.113897209,-0.112393185,0.340187603,0.374453418,0.199818002,0.549088835,,,
AACS,-0.185589293,-0.513395274,0.142216688,0.183062375,-0.045887953,0.412012702,-0.03618814,-0.200268841,0.127892562,0.082341083,-0.114376934,0.2790591,,,
AACSL,0.036391054,-0.167364899,0.240147007,0.190273689,-0.263701059,0.644248437,-0.246411924,-0.355415297,-0.137408552,0.113714625,-0.111161939,0.33859119,,,
AADAC,0.171862038,-0.113248809,0.456972885,0.478889239,0.117163063,0.840615416,-0.215802361,-0.383773101,-0.047831622,-0.161530552,-0.324144952,0.001083848,,,
AADACL2,0.030738134,-0.150906678,0.212382946,0.147260218,-0.287653781,0.582174217,-0.213866596,-0.258657838,-0.169075355,0.108271778,-0.155171194,0.37171475,,,
AADACL3,0.013843531,-0.156127639,0.1838147,-0.341259003,-0.480694241,-0.201823764,-0.006665955,-0.16991176,0.15657985,0.166635061,-0.131427406,0.464697528,,,
AADACL4,0.241066144,-0.038722398,0.520854686,-0.33680889,-0.33680889,-0.33680889,0.047555572,-0.211391055,0.306502198,-0.057969252,-0.225954131,0.110015627,,,
AADAT,0.837909897,0.641779293,1.0340405,0.418025181,0.109894349,0.726156012,-0.442565901,-0.585153797,-0.299978004,-0.413319358,-0.594244983,-0.232393733,,,
AAGAB,-1.04218425,-1.2735032,-0.8108653,0.011286432,-0.222115851,0.244688715,0.347637551,0.202958533,0.492316569,0.442842319,0.279069505,0.606615132,,,
AAK1,-0.271110965,-0.565510784,0.023288854,0.106307076,-0.181377821,0.393991973,0.291686271,0.108159026,0.475213516,-0.129352991,-0.308388485,0.049682503,,,
AAMP,0.003035996,-0.319322744,0.325394737,-0.145555821,-0.461817655,0.170706013,-0.036852171,-0.20171498,0.128010637,0.105817577,-0.068075348,0.279710503,,,
AANAT,-0.081137362,-0.293405065,0.131130341,-0.332428543,-0.522802862,-0.142054224,0.205299548,-0.022368067,0.432967163,0.030321893,-0.197955559,0.258599346,,,
AARS,0.543309774,0.355555809,0.731063739,0.125151173,-0.129506632,0.379808978,-0.792540243,-0.983226768,-0.601853718,0.289459816,0.117646378,0.461273254,,,
AARS2,0.660529694,0.412834533,0.908224854,0.15204409,-0.016689809,0.320777988,-0.487603002,-0.700413304,-0.274792701,-0.104133104,-0.278029898,0.069763689,,,
AARSD1,-0.289787451,-0.529091715,-0.050483186,-0.026613766,-0.361034877,0.307807345,0.10754339,-0.105238803,0.320325584,0.127585055,-0.056113586,0.311283697,,,
AASDH,-0.465298595,-0.7288585,-0.20173869,-0.077350782,-0.440278369,0.285576805,0.290423325,0.130445922,0.450400729,0.109326984,-0.072311607,0.290965574,,,
AASDHPPT,-0.335419362,-0.479530147,-0.191308577,0.02846584,-0.30132282,0.3582545,0.05062274,-0.121325936,0.222571416,0.188818143,-0.071402711,0.449038997,,,
