Gene	p value	Name
TCAP	<0.001	titin-cap
TMEM231	<0.001	transmembrane protein 231
MUC1	<0.001	mucin 1, cell surface associated
KCNJ12	<0.001	potassium inwardly rectifying channel subfamily J member 12
CEACAM6	<0.001	CEA cell adhesion molecule 6
FAM110A	<0.001	family with sequence similarity 110 member A
RNF220	<0.001	ring finger protein 220
CISD3	<0.001	CDGSH iron sulfur domain 3
ZNF529	<0.001	zinc finger protein 529
IKZF3	<0.001	IKAROS family zinc finger 3
JUP	<0.001	junction plakoglobin
GALNT10	<0.001	polypeptide N-acetylgalactosaminyltransferase 10
EPN3	<0.001	epsin 3
DBNDD2	<0.001	dysbindin domain containing 2
KMO	<0.001	kynurenine 3-monooxygenase
CYP4Z2P	<0.001	cytochrome P450 family 4 subfamily Z member 2, pseudogene
WIPF2	<0.001	WAS/WASL interacting protein family member 2
SERHL2	<0.001	serine hydrolase like 2
B4GALNT2	<0.001	beta-1,4-N-acetyl-galactosaminyltransferase 2
SLC44A4	<0.001	solute carrier family 44 member 4
PCGF2	<0.001	polycomb group ring finger 2
SPINK8	<0.001	serine peptidase inhibitor Kazal type 8 (putative)
PSMD3	<0.001	proteasome 26S subunit, non-ATPase 3
TMUB2	<0.001	transmembrane and ubiquitin like domain containing 2
CDK12	<0.001	cyclin dependent kinase 12
ABCC11	<0.001	ATP binding cassette subfamily C member 11
SERHL	<0.001	serine hydrolase like (pseudogene)
ZNF232	<0.001	zinc finger protein 232
TOR1AIP2	<0.001	torsin 1A interacting protein 2
DMAP1	<0.001	DNA methyltransferase 1 associated protein 1
C9orf169	<0.001	cysteine rich tail 1
PAX9	<0.001	paired box 9
RND1	<0.001	Rho family GTPase 1
KLHDC7A	<0.001	kelch domain containing 7A
TBCB	<0.001	tubulin folding cofactor B
CATSPERB	<0.001	cation channel sperm associated auxiliary subunit beta
ACACA	<0.001	acetyl-CoA carboxylase alpha
IYD	<0.001	iodotyrosine deiodinase
HYI	<0.001	hydroxypyruvate isomerase (putative)
VPS37C	<0.001	VPS37C subunit of ESCRT-I
SPRED2	<0.001	sprouty related EVH1 domain containing 2
SPDEF	<0.001	SAM pointed domain containing ETS transcription factor
NRK	<0.001	Nik related kinase
ZDHHC18	<0.001	zinc finger DHHC-type palmitoyltransferase 18
PRPF38B	<0.001	pre-mRNA processing factor 38B
ABCC12	<0.001	ATP binding cassette subfamily C member 12
TMEM132A	<0.001	transmembrane protein 132A
HMGN4	<0.001	high mobility group nucleosomal binding domain 4
SOCS7	<0.001	suppressor of cytokine signaling 7
GOLGA2	<0.001	golgin A2
C3orf17	<0.001	nucleolus and neural progenitor protein
CTNNA1	<0.001	catenin alpha 1
RPL19	<0.001	ribosomal protein L19
TMEM86A	<0.001	transmembrane protein 86A
TSPAN9	<0.001	tetraspanin 9
PLA2G4F	<0.001	phospholipase A2 group IVF
FASN	<0.001	fatty acid synthase
RAB27B	<0.001	RAB27B, member RAS oncogene family
TRAF4	<0.001	TNF receptor associated factor 4
KRT8	<0.001	keratin 8
SDHB	<0.001	succinate dehydrogenase complex iron sulfur subunit B
CREB3L1	<0.001	cAMP responsive element binding protein 3 like 1
TSPAN15	<0.001	tetraspanin 15
CYB561	<0.001	cytochrome b561
ARRDC1	<0.001	arrestin domain containing 1
SOX13	<0.001	SRY-box transcription factor 13
ELAC1	<0.001	elaC ribonuclease Z 1
SRCIN1	<0.001	SRC kinase signaling inhibitor 1
CASC3	<0.001	CASC3 exon junction complex subunit
CNBP	<0.001	CCHC-type zinc finger nucleic acid binding protein
RREB1	<0.001	ras responsive element binding protein 1
ZNF710	<0.001	zinc finger protein 710
PKN1	<0.001	protein kinase N1
N4BP3	<0.001	NEDD4 binding protein 3
CREB3L4	<0.001	cAMP responsive element binding protein 3 like 4
CCDC87	<0.001	coiled-coil domain containing 87
METTL4	<0.001	methyltransferase 4, N6-adenosine
TP53INP2	<0.001	tumor protein p53 inducible nuclear protein 2
EHMT1	<0.001	euchromatic histone lysine methyltransferase 1
MED24	<0.001	mediator complex subunit 24
TMEM45B	<0.001	transmembrane protein 45B
GGTLC1	<0.001	gamma-glutamyltransferase light chain 1
TRIM3	<0.001	tripartite motif containing 3
SLC2A10	<0.001	solute carrier family 2 member 10
AR	<0.001	androgen receptor
RPL19P12	<0.001	ribosomal protein L19 pseudogene 12
MYO18A	<0.001	myosin XVIIIA
SEC16A	<0.001	SEC16 homolog A, endoplasmic reticulum export factor
GDF5	<0.001	growth differentiation factor 5
RARA	<0.001	retinoic acid receptor alpha
RAB5C	<0.001	RAB5C, member RAS oncogene family
SEH1L	<0.001	SEH1 like nucleoporin
C15orf41	<0.001	CDAN1 interacting nuclease 1
SERINC2	<0.001	serine incorporator 2
FOXA1	<0.001	forkhead box A1
THRA	<0.001	thyroid hormone receptor alpha
SH3BP4	<0.001	SH3 domain binding protein 4
NEXN-AS1	<0.001	NEXN antisense RNA 1
FGFR4	<0.001	fibroblast growth factor receptor 4
PIP4K2B	<0.001	phosphatidylinositol-5-phosphate 4-kinase type 2 beta
PM20D2	<0.001	peptidase M20 domain containing 2
PRR15	<0.001	proline rich 15
DHCR24	<0.001	24-dehydrocholesterol reductase
GALNT6	<0.001	polypeptide N-acetylgalactosaminyltransferase 6
DGKD	<0.001	diacylglycerol kinase delta
PEX11A	<0.001	peroxisomal biogenesis factor 11 alpha
MSL1	<0.001	MSL complex subunit 1
TRIM62	<0.001	tripartite motif containing 62
ZNF341	<0.001	zinc finger protein 341
EZR	<0.001	ezrin
KIAA1244	<0.001	ARFGEF family member 3
TMEM62	<0.001	transmembrane protein 62
GPRC5C	<0.001	G protein-coupled receptor class C group 5 member C
FBXL20	<0.001	F-box and leucine rich repeat protein 20
