Gene	p avg	Name
GRB7	2.987001538207202e-30	growth factor receptor bound protein 7
MIEN1	1.3286586642745282e-24	migration and invasion enhancer 1
STARD3	7.0809103027445725e-22	StAR related lipid transfer domain containing 3
CDK12	2.1164156280407244e-13	cyclin dependent kinase 12
MAP3K9	1.6074111367835916e-11	mitogen-activated protein kinase kinase kinase 9
CCNK	4.813653160850354e-10	cyclin K
TRAF4	9.809583879399124e-09	TNF receptor associated factor 4
MYO18A	1.1136348090992484e-08	myosin XVIIIA
PNMT	3.880552288993952e-08	phenylethanolamine N-methyltransferase
TAOK1	3.676249912329433e-07	TAO kinase 1
PPP1R10	4.847569464276445e-07	protein phosphatase 1 regulatory subunit 10
TOX4	2.29878562917544e-06	TOX high mobility group box family member 4
FLOT2	2.4163426564721224e-06	flotillin 2
UNC119	3.2686329026322445e-06	unc-119 lipid binding chaperone
SPTLC1	4.0643320592706886e-06	serine palmitoyltransferase long chain base subunit 1
ZDHHC3	4.540776688367086e-06	zinc finger DHHC-type palmitoyltransferase 3
PHF12	6.4434261910255175e-06	PHD finger protein 12
MLLT6	7.753327872027644e-06	MLLT6, PHD finger containing
POR	9.143538185090884e-06	cytochrome p450 oxidoreductase
ANO10	1.3147069427273837e-05	anoctamin 10
NUFIP2	1.3353125932442076e-05	nuclear FMR1 interacting protein 2
PRODH	1.3819660106186982e-05	proline dehydrogenase 1
SUPT6H	1.3872510615047454e-05	SPT6 homolog, histone chaperone and transcription elongation factor
RHOB	2.4208820486928178e-05	ras homolog family member B
PIP4K2B	2.7950836453100636e-05	phosphatidylinositol-5-phosphate 4-kinase type 2 beta
GPAA1	2.9791543538616364e-05	glycosylphosphatidylinositol anchor attachment 1
GIT1	3.708341500707027e-05	GIT ArfGAP 1
SPTLC2	4.2925235838133e-05	serine palmitoyltransferase long chain base subunit 2
ITGB6	4.5760653875288145e-05	integrin subunit beta 6
SRCIN1	6.0400660367368716e-05	SRC kinase signaling inhibitor 1
WIPF2	6.5611617954399e-05	WAS/WASL interacting protein family member 2
VMP1	7.184559305952217e-05	vacuole membrane protein 1
MSL1	9.999999522068913e-05	MSL complex subunit 1
FBXL20	0.00010042131119184578	F-box and leucine rich repeat protein 20
RHOF	0.00011147800769583383	ras homolog family member F, filopodia associated
GALNT7	0.00012113938503785827	polypeptide N-acetylgalactosaminyltransferase 7
TBC1D30	0.0001349974529074135	TBC1 domain family member 30
SEC16A	0.00013682606868941458	SEC16 homolog A, endoplasmic reticulum export factor
SLC12A2	0.00014605839386698337	solute carrier family 12 member 2
LASP1	0.00015209678469835418	LIM and SH3 protein 1
FAM222B	0.00015444883422900213	family with sequence similarity 222 member B
CRAT	0.0001708028369291882	carnitine O-acetyltransferase
INF2	0.00017808493437506103	inverted formin 2
EME1	0.00018309478558214688	essential meiotic structure-specific endonuclease 1
DHCR24	0.00021029907596666436	24-dehydrocholesterol reductase
RAB24	0.00021301908623309917	RAB24, member RAS oncogene family
FLOT1	0.00022741604812926043	flotillin 1
KMO	0.00023110098571973254	kynurenine 3-monooxygenase
MED1	0.0002315634275539736	mediator complex subunit 1
AKR1B10	0.0002316387501923884	aldo-keto reductase family 1 member B10
ATL3	0.00025141404428368944	atlastin GTPase 3
CWC25	0.00026760363465617445	CWC25 spliceosome associated protein homolog
GLYATL2	0.0002784800031097584	glycine-N-acyltransferase like 2
GALNT6	0.0002876062134070613	polypeptide N-acetylgalactosaminyltransferase 6
RAB43	0.0003022503635742484	RAB43, member RAS oncogene family
CLCA2	0.0003095101057744077	chloride channel accessory 2
SH3BP4	0.0003358209103446001	SH3 domain binding protein 4
CAPN13	0.00034495648710127234	calpain 13
RAB3D	0.00034571173177343315	RAB3D, member RAS oncogene family
TC2N	0.0003527928652047911	tandem C2 domains, nuclear
ALG12	0.0003640356172733295	ALG12 alpha-1,6-mannosyltransferase
KIAA0100	0.0003722396538718264	KIAA0100
SCARB2	0.0003877664024997548	scavenger receptor class B member 2
CISD3	0.00039142979792870976	CDGSH iron sulfur domain 3
FDFT1	0.0004004022661649725	farnesyl-diphosphate farnesyltransferase 1
CCDC6	0.00040578265029082237	coiled-coil domain containing 6
ACACA	0.00042781049949609096	acetyl-CoA carboxylase alpha
HSP90AA1	0.0004333569261451226	heat shock protein 90 alpha family class A member 1
FASN	0.0004447833528216206	fatty acid synthase
IDI1	0.0004930284175033593	isopentenyl-diphosphate delta isomerase 1
DHRS13	0.0005106297826742828	dehydrogenase/reductase 13
MED24	0.0005437266704209213	mediator complex subunit 24
RPN2	0.0005763014048169873	ribophorin II
CKAP4	0.0006090493357819343	cytoskeleton associated protein 4
PIGS	0.00068072388508875	phosphatidylinositol glycan anchor biosynthesis class S
ELMOD2	0.0006989494662586915	ELMO domain containing 2
CLYBL	0.0007031720344163561	citramalyl-CoA lyase
GLYATL1	0.0007052183283043034	glycine-N-acyltransferase like 1
UBR1	0.0007095321130235748	ubiquitin protein ligase E3 component n-recognin 1
SLC27A4	0.0007262007447657471	solute carrier family 27 member 4
SGSM3	0.0007657212336479453	small G protein signaling modulator 3
ERAL1	0.0007662458659381632	Era like 12S mitochondrial rRNA chaperone 1
RAB3GAP1	0.000831221684528587	RAB3 GTPase activating protein catalytic subunit 1
WFS1	0.0008716178364144074	wolframin ER transmembrane glycoprotein
TRAPPC10	0.0008893190752914098	trafficking protein particle complex subunit 10
FAR1	0.0008907408763463155	fatty acyl-CoA reductase 1
EIF5	0.0009238361448012443	eukaryotic translation initiation factor 5
TBC1D20	0.0009445218336177565	TBC1 domain family member 20
ACOT8	0.0009551514356835027	acyl-CoA thioesterase 8
RAB3GAP2	0.0009666894628710282	RAB3 GTPase activating non-catalytic protein subunit 2
TMED3	0.0009689942345413023	transmembrane p24 trafficking protein 3
S100A14	0.0009695422778897074	S100 calcium binding protein A14
FHOD1	0.0009815561996287475	formin homology 2 domain containing 1
TRIP12	0.0010508095447166956	thyroid hormone receptor interactor 12
PNKD	0.001095435795877034	PNKD metallo-beta-lactamase domain containing
ITPR3	0.0011138662949629417	inositol 1,4,5-trisphosphate receptor type 3
SEL1L	0.0011771240146161868	SEL1L adaptor subunit of ERAD E3 ubiquitin ligase
TRAF3IP2	0.0012440628519388305	TRAF3 interacting protein 2
TMEM167A	0.0012559163444946194	transmembrane protein 167A
ERGIC1	0.0012782938378680514	endoplasmic reticulum-golgi intermediate compartment 1
EPN3	0.0012823400759653684	epsin 3
STX5	0.0013983923758774312	syntaxin 5
ASRGL1	0.001442150892575648	asparaginase and isoaspartyl peptidase 1
TMEM135	0.001450909270815077	transmembrane protein 135
TNS4	0.001465679832872911	tensin 4
USP40	0.0014673893162373156	ubiquitin specific peptidase 40
HMGCS1	0.0015018321417480354	3-hydroxy-3-methylglutaryl-CoA synthase 1
WDR26	0.0015294499106206596	WD repeat domain 26
TRAPPC9	0.0015409421069278975	trafficking protein particle complex subunit 9
DLGAP4	0.0015873592820314843	DLG associated protein 4
FAM3B	0.0015885648546425345	FAM3 metabolism regulating signaling molecule B
LTN1	0.0016073922905559801	listerin E3 ubiquitin protein ligase 1
DCUN1D4	0.0016258009281859371	defective in cullin neddylation 1 domain containing 4
GOLGA2	0.0016887441865884865	golgin A2
VAPB	0.0017227380017888216	VAMP associated protein B and C
GRAMD4	0.0017272367789871706	GRAM domain containing 4
ATP2A2	0.0017732470092479747	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
PIGK	0.0017870690786118415	phosphatidylinositol glycan anchor biosynthesis class K
CUTA	0.00180677230045178	cutA divalent cation tolerance homolog
BZW2	0.0018184753353314579	basic leucine zipper and W2 domains 2
KIDINS220	0.0018692506759613117	kinase D interacting substrate 220
ATP7B	0.001882531794588666	ATPase copper transporting beta
SPAG7	0.0018839516740521917	sperm associated antigen 7
PDXDC1	0.0019728104935805495	pyridoxal dependent decarboxylase domain containing 1
NDOR1	0.001997803031321843	NADPH dependent diflavin oxidoreductase 1
VTI1B	0.002005294747517084	vesicle transport through interaction with t-SNAREs 1B
GNPNAT1	0.002082381399928729	glucosamine-phosphate N-acetyltransferase 1
CASC3	0.002097875434445544	CASC3 exon junction complex subunit
CSTF3	0.0020989272865919065	cleavage stimulation factor subunit 3
YKT6	0.002103334105276559	YKT6 v-SNARE homolog
RAB11A	0.0021114917685004916	RAB11A, member RAS oncogene family
HID1	0.002121755972713681	HID1 domain containing
PEX16	0.0021949796628011934	peroxisomal biogenesis factor 16
EDARADD	0.0022494114408557176	EDAR associated death domain
HECTD1	0.002331458823129704	HECT domain E3 ubiquitin protein ligase 1
TMEM199	0.0023698567328231065	transmembrane protein 199
CDS2	0.002380236172450362	CDP-diacylglycerol synthase 2
RAB6A	0.002416692313539106	RAB6A, member RAS oncogene family
PLCB3	0.002433906609981484	phospholipase C beta 3
UGGT1	0.002452196503508566	UDP-glucose glycoprotein glucosyltransferase 1
NBEAL2	0.002566975452544698	neurobeachin like 2
POLDIP2	0.0025882227564827634	DNA polymerase delta interacting protein 2
TM7SF2	0.00263072121431111	transmembrane 7 superfamily member 2
ASPH	0.0026367641345546623	aspartate beta-hydroxylase
IER3IP1	0.0027107849391999153	immediate early response 3 interacting protein 1
USP38	0.0027133115368988383	ubiquitin specific peptidase 38
SHB	0.0027865579281216054	SH2 domain containing adaptor protein B
SLC39A11	0.0027978027409310898	solute carrier family 39 member 11
DDOST	0.0028099865277366187	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
CDC42BPG	0.002877502268642557	CDC42 binding protein kinase gamma
ARL1	0.002933928304202309	ADP ribosylation factor like GTPase 1
B4GALT7	0.002942685778798422	beta-1,4-galactosyltransferase 7
VEZT	0.002968556837413608	vezatin, adherens junctions transmembrane protein
IPPK	0.003001186429812127	inositol-pentakisphosphate 2-kinase
SCD	0.0030104970298004317	stearoyl-CoA desaturase
ATP13A1	0.0030260816759205126	ATPase 13A1
SUSD2	0.0030694454680780837	sushi domain containing 2
ZNF467	0.0030951196186268974	zinc finger protein 467
ABHD4	0.003111202394269163	abhydrolase domain containing 4, N-acyl phospholipase B
TBCB	0.0031161495555078497	tubulin folding cofactor B
C1orf27	0.0031605689017431835	odr-4 GPCR localization factor homolog
AGPAT3	0.003220868797519909	1-acylglycerol-3-phosphate O-acyltransferase 3
COPB2	0.0032734566835477745	COPI coat complex subunit beta 2
SLC38A2	0.0032912995272049196	solute carrier family 38 member 2
HSPA4L	0.00330181063471908	heat shock protein family A (Hsp70) member 4 like
CDCP1	0.003319716301654976	CUB domain containing protein 1
CREB3L4	0.0033338670834865743	cAMP responsive element binding protein 3 like 4
GOLGA5	0.0033474870553846852	golgin A5
TM9SF2	0.0033811823257723266	transmembrane 9 superfamily member 2
LMAN2	0.003392367273654707	lectin, mannose binding 2
CARD14	0.0034134952092555546	caspase recruitment domain family member 14
HM13	0.00347680407945981	histocompatibility minor 13
SLITRK6	0.003522483171628621	SLIT and NTRK like family member 6
RARA	0.0036580127261987105	retinoic acid receptor alpha
NCEH1	0.0036781323175666125	neutral cholesterol ester hydrolase 1
IGF2R	0.003738453199048913	insulin like growth factor 2 receptor
PIK3C2B	0.003755272287642796	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta
ZMPSTE24	0.003762438301537693	zinc metallopeptidase STE24
SUCO	0.0037919028459285154	SUN domain containing ossification factor
C5orf15	0.003794955879200855	chromosome 5 open reading frame 15
COMT	0.0038199857465898023	catechol-O-methyltransferase
ABCC5	0.003845934258156184	ATP binding cassette subfamily C member 5
RAB1B	0.0038876257698701494	RAB1B, member RAS oncogene family
RPA3	0.003930743087615693	replication protein A3
PRKCD	0.0039466533975994495	protein kinase C delta
SCYL2	0.003976157087950429	SCY1 like pseudokinase 2
RAB14	0.003982363428354835	RAB14, member RAS oncogene family
SRD5A3	0.004038364695058981	steroid 5 alpha-reductase 3
GPCPD1	0.00405390033183574	glycerophosphocholine phosphodiesterase 1
SNAPC3	0.004076248131977728	small nuclear RNA activating complex polypeptide 3
ASCC2	0.0041280057949305525	activating signal cointegrator 1 complex subunit 2
USF2	0.004171067676229784	upstream transcription factor 2, c-fos interacting
DEGS1	0.004200837416268789	delta 4-desaturase, sphingolipid 1
RPN1	0.004212489137227625	ribophorin I
ST3GAL1	0.0042506283107419714	ST3 beta-galactoside alpha-2,3-sialyltransferase 1
NCLN	0.004255659017837724	nicalin
PREB	0.00427317861786437	prolactin regulatory element binding
RPA1	0.004285089957491147	replication protein A1
DNAJC8	0.004328366729317431	DnaJ heat shock protein family (Hsp40) member C8
DNAJC5	0.004358359233308967	DnaJ heat shock protein family (Hsp40) member C5
MAVS	0.004480173108132608	mitochondrial antiviral signaling protein
