Gene	Summed p values	Name
TCAP	9.54165076671628e-12	titin-cap
STARD3	2.01686898274387e-11	StAR related lipid transfer domain containing 3
GRB7	1.3555073296913057e-10	growth factor receptor bound protein 7
MIEN1	3.474049263555791e-08	migration and invasion enhancer 1
ORMDL3	8.46027006135466e-08	ORMDL sphingolipid biosynthesis regulator 3
GSDMB	5.476816115023911e-06	gasdermin B
MED1	5.540241983917208e-06	mediator complex subunit 1
MSL1	8.406588074687055e-06	MSL complex subunit 1
PNMT	2.3618506516340782e-05	phenylethanolamine N-methyltransferase
NEXN-AS1	5.290753820785534e-05	NEXN antisense RNA 1
PPP1R10	7.035918357923796e-05	protein phosphatase 1 regulatory subunit 10
FBXL20	9.617530757438359e-05	F-box and leucine rich repeat protein 20
SERHL	0.0002994282254046644	serine hydrolase like (pseudogene)
HMGN4	0.0004928416370224757	high mobility group nucleosomal binding domain 4
LAMTOR5	0.000512146833530692	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5
ARRDC1	0.0007349665524846554	arrestin domain containing 1
SRCIN1	0.0007504228856283582	SRC kinase signaling inhibitor 1
RWDD3	0.0007819234729375906	RWD domain containing 3
C9orf169	0.0007951485876919997	cysteine rich tail 1
PIP4K2B	0.0011414296421364738	phosphatidylinositol-5-phosphate 4-kinase type 2 beta
CDK12	0.0012016032894924366	cyclin dependent kinase 12
CATSPERB	0.0018012840508048295	cation channel sperm associated auxiliary subunit beta
TMEM132A	0.001828277703631089	transmembrane protein 132A
FAM110A	0.0018301996941370708	family with sequence similarity 110 member A
CCDC162P	0.0018801782935064502	coiled-coil domain containing 162, pseudogene
CNBP	0.002198533558649957	CCHC-type zinc finger nucleic acid binding protein
FGFR4	0.002218336982164749	fibroblast growth factor receptor 4
LRRC26	0.002314940854556308	leucine rich repeat containing 26
TNKS1BP1	0.002381284553236546	tankyrase 1 binding protein 1
LOC100131347	0.0031282999037859126	
ZNF341	0.0035571516653847015	zinc finger protein 341
PGAP3	0.003563726325799845	post-GPI attachment to proteins phospholipase 3
SMIM12	0.004403624793290686	small integral membrane protein 12
PITHD1	0.004506656181837448	PITH domain containing 1
ELAC1	0.004713199294151031	elaC ribonuclease Z 1
CREB3L1	0.004714772629253132	cAMP responsive element binding protein 3 like 1
LOC100996634	0.005028927005536311	
BRK1	0.005202678539285518	BRICK1 subunit of SCAR/WAVE actin nucleating complex
C3orf17	0.005304100878828814	nucleolus and neural progenitor protein
FBXL19-AS1	0.005777423141876967	FBXL19 antisense RNA 1
TXNRD3	0.00590928707277152	thioredoxin reductase 3
SUSD2	0.005947534642952782	sushi domain containing 2
SEPTIN15	0.006126724502628608	
TMEM45B	0.006729974901293441	transmembrane protein 45B
EHMT1	0.007157778315580518	euchromatic histone lysine methyltransferase 1
BRD3	0.0072104513585029405	bromodomain containing 3
PCGF2	0.007565499494656859	polycomb group ring finger 2
SMARCE1	0.007832307586314232	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1
KMO	0.007986963038724195	kynurenine 3-monooxygenase
SOX13	0.008510615335706292	SRY-box transcription factor 13
ZMYM6NB	0.00862335515130735	transmembrane protein 35B
TMEM210	0.00907672038135308	transmembrane protein 210
ABCC12	0.009333462937935782	ATP binding cassette subfamily C member 12
NDUFS5	0.009381225029981163	NADH:ubiquinone oxidoreductase subunit S5
SDHB	0.009512181236897408	succinate dehydrogenase complex iron sulfur subunit B
LINC01341	0.00962760217952963	long intergenic non-protein coding RNA 1341
SYF2	0.00985846831253586	SYF2 pre-mRNA splicing factor
PP14571	0.009895136414429706	
TMEM150A	0.009903488252945947	transmembrane protein 150A
PPP3CC	0.010626209437197215	protein phosphatase 3 catalytic subunit gamma
KLHL42	0.010841912331830808	kelch like family member 42
CLCA2	0.010845131079147072	chloride channel accessory 2
GATA2	0.01088023198305516	GATA binding protein 2
TXNRD3NB	0.011079514823184283	thioredoxin reductase 3
POGLUT1	0.011762663329523325	protein O-glucosyltransferase 1
PRPF38B	0.011769839519361423	pre-mRNA processing factor 38B
TMEM231	0.011839444855032395	transmembrane protein 231
ALDH4A1	0.011974925075006483	aldehyde dehydrogenase 4 family member A1
CDC6	0.012070695580108013	cell division cycle 6
LYSMD2	0.012091276169924527	LysM domain containing 2
MAGOH	0.012571028715356064	mago homolog, exon junction complex subunit
SLC39A11	0.01321539938567957	solute carrier family 39 member 11
KIAA1244	0.013538526280869165	ARFGEF family member 3
ZNF710	0.013607606748391596	zinc finger protein 710
DIMT1	0.013615219478547517	DIM1 rRNA methyltransferase and ribosome maturation factor
TLCD1	0.013880830666194348	TLC domain containing 1
CPD	0.01393298259046549	carboxypeptidase D
SRD5A3	0.014027131260930192	steroid 5 alpha-reductase 3
KMT2D	0.014035359581617982	lysine methyltransferase 2D
CRAT	0.014128048435885483	carnitine O-acetyltransferase
CD47	0.01419509535918162	CD47 molecule
RIMS1	0.014224136997235395	regulating synaptic membrane exocytosis 1
LASP1	0.014244503726584637	LIM and SH3 protein 1
LINC01289	0.014371451679841243	long intergenic non-protein coding RNA 1289
ACBD7	0.014639853658950512	acyl-CoA binding domain containing 7
KCTD9	0.014777402747693263	potassium channel tetramerization domain containing 9
SLC9A1	0.015173889915074363	solute carrier family 9 member A1
NUPL2	0.01536237975255634	nucleoporin 42
MARCHF6	0.015380778330787524	membrane associated ring-CH-type finger 6
RPA2	0.015464793068716126	replication protein A2
RBBP8	0.015740804630923852	RB binding protein 8, endonuclease
NUFIP2	0.01579604227432428	nuclear FMR1 interacting protein 2
SREBF2	0.015941932311364152	sterol regulatory element binding transcription factor 2
SLC22A23	0.016126685252560797	solute carrier family 22 member 23
SENP3	0.016415024436455608	SUMO specific peptidase 3
ABHD11	0.016636527252177354	abhydrolase domain containing 11
PAX9	0.01666516404525749	paired box 9
LRRC1	0.016961284084209376	leucine rich repeat containing 1
LBX2-AS1	0.017297949297904687	LBX2 antisense RNA 1
SAMD11	0.017717190479782832	sterile alpha motif domain containing 11
ORC2	0.017812678267754473	origin recognition complex subunit 2
EPGN	0.01908758884613812	epithelial mitogen
DNAJC22	0.01929244491414834	DnaJ heat shock protein family (Hsp40) member C22
SOCS7	0.01932787927551753	suppressor of cytokine signaling 7
METTL4	0.01963134688464431	methyltransferase 4, N6-adenosine
EMG1	0.019771047268642858	EMG1 N1-specific pseudouridine methyltransferase
UVSSA	0.019844920309049708	UV stimulated scaffold protein A
QPRT	0.01993740613465459	quinolinate phosphoribosyltransferase
SUPT6H	0.02007590213796169	SPT6 homolog, histone chaperone and transcription elongation factor
C6orf99	0.020159167221634633	long intergenic non-protein coding RNA 2901
PHF12	0.02084193144516381	PHD finger protein 12
NUDT4	0.021440729736855582	nudix hydrolase 4
ZPR1	0.021477787654365258	ZPR1 zinc finger
TRIM3	0.021559815331362777	tripartite motif containing 3
IRS2	0.021605886318685943	insulin receptor substrate 2
HOXA11-AS	0.022123985838049868	HOXA11 antisense RNA
TRIB3	0.022377491906839728	tribbles pseudokinase 3
RHPN1	0.022529003722795586	rhophilin Rho GTPase binding protein 1
CXCL17	0.023041527037637833	C-X-C motif chemokine ligand 17
LINC00471	0.02332428462189833	long intergenic non-protein coding RNA 471
SLC9A3R2	0.02342255451187582	SLC9A3 regulator 2
