Gene	Summed p values	Name
GRB7	2.161689224506469e-21	growth factor receptor bound protein 7
MIEN1	5.077006849941358e-20	migration and invasion enhancer 1
STARD3	2.1328076162416343e-16	StAR related lipid transfer domain containing 3
MAP3K9	3.214822273567183e-11	mitogen-activated protein kinase kinase kinase 9
CDK12	9.476255763651937e-11	cyclin dependent kinase 12
PNMT	7.761104577987903e-08	phenylethanolamine N-methyltransferase
CCNK	3.2246760706699133e-06	cyclin K
ZDHHC3	9.081553376734172e-06	zinc finger DHHC-type palmitoyltransferase 3
TOX4	1.2491806026228629e-05	TOX high mobility group box family member 4
PPP1R10	0.00026890989179894357	protein phosphatase 1 regulatory subunit 10
FAM222B	0.00030889766845800426	family with sequence similarity 222 member B
AKR1B10	0.0004632775003847768	aldo-keto reductase family 1 member B10
FBXL20	0.0006016202488955033	F-box and leucine rich repeat protein 20
CLCA2	0.0006190202115488154	chloride channel accessory 2
ALG12	0.000728071234546659	ALG12 alpha-1,6-mannosyltransferase
KMO	0.0017750282078792265	kynurenine 3-monooxygenase
INF2	0.0019119199027880893	inverted formin 2
TBC1D30	0.002127179421264181	TBC1 domain family member 30
TMEM167A	0.002511832688989239	transmembrane protein 167A
GALNT6	0.002627117568709905	polypeptide N-acetylgalactosaminyltransferase 6
TMEM135	0.002901818541630154	transmembrane protein 135
SPTLC1	0.003086816949376943	serine palmitoyltransferase long chain base subunit 1
SPTLC2	0.003134184890824491	serine palmitoyltransferase long chain base subunit 2
FAM3B	0.003177129709285069	FAM3 metabolism regulating signaling molecule B
CRAT	0.0036885478406736	carnitine O-acetyltransferase
ATP7B	0.003765063589177332	ATPase copper transporting beta
GALNT7	0.0037895198900991947	polypeptide N-acetylgalactosaminyltransferase 7
UBR1	0.0038915522982281917	ubiquitin protein ligase E3 component n-recognin 1
ITGB6	0.004264097816176419	integrin subunit beta 6
ELMOD2	0.004447919740393401	ELMO domain containing 2
WDR26	0.005330787752356859	WD repeat domain 26
IER3IP1	0.0054215698783998305	immediate early response 3 interacting protein 1
IPPK	0.006002372859624254	inositol-pentakisphosphate 2-kinase
C1orf27	0.006321137803486367	odr-4 GPCR localization factor homolog
SLC38A2	0.006582599054409839	solute carrier family 38 member 2
SLITRK6	0.007044966343257242	SLIT and NTRK like family member 6
FAR1	0.007767727346399659	fatty acyl-CoA reductase 1
SRD5A3	0.008076729390117962	steroid 5 alpha-reductase 3
RAB24	0.00814765436833345	RAB24, member RAS oncogene family
RAB11A	0.008960079539763043	RAB11A, member RAS oncogene family
MED1	0.00909591258853881	mediator complex subunit 1
HID1	0.009367363954789919	HID1 domain containing
WIPF2	0.009556950427068393	WAS/WASL interacting protein family member 2
PIGS	0.011281434705184033	phosphatidylinositol glycan anchor biosynthesis class S
RAB3D	0.01135414048465478	RAB3D, member RAS oncogene family
SUSD2	0.011706768464406783	sushi domain containing 2
KRT72	0.011707679081261243	keratin 72
SLC27A4	0.01181892464769389	solute carrier family 27 member 4
CRIPT	0.01286595942292059	CXXC repeat containing interactor of PDZ3 domain
NIPSNAP3B	0.013291398001031034	nipsnap homolog 3B
SLC39A11	0.013325372972405828	solute carrier family 39 member 11
SPOCD1	0.013475501920433767	SPOC domain containing 1
KLHDC7A	0.01353739868772352	kelch domain containing 7A
EDARADD	0.013897029430744948	EDAR associated death domain
BZW2	0.014130122071080083	basic leucine zipper and W2 domains 2
HACD3	0.01440854512766425	3-hydroxyacyl-CoA dehydratase 3
SLC12A8	0.014474663870835585	solute carrier family 12 member 8
VAPB	0.014859481246212454	VAMP associated protein B and C
CPSF3	0.015238360169500144	cleavage and polyadenylation specific factor 3
PRR5-ARHGAP8	0.015711765915797996	PRR5-ARHGAP8 readthrough
PRKCD	0.015934176188611454	protein kinase C delta
MED24	0.016127999230108384	mediator complex subunit 24
EI24	0.01657625756884361	EI24 autophagy associated transmembrane protein
ARFGEF3	0.01666415429528794	ARFGEF family member 3
CTTNBP2	0.017368480195956475	cortactin binding protein 2
LTN1	0.01756248297738537	listerin E3 ubiquitin protein ligase 1
IDI1	0.018292361434475986	isopentenyl-diphosphate delta isomerase 1
