Gene	r	p
TCAP	0.817	7.667E-12
STARD3	0.8077	2.017E-11
GRB7	0.7878	1.356E-10
MLLT6	0.7626	1.144E-09
PGAP3	0.755	2.075E-09
GSDMB	0.7441	4.703E-09
NEUROD2	0.7308	1.203E-08
MIEN1	0.717	3.012E-08
ORMDL3	0.7005	8.460E-08
LINC00302	0.6964	1.085E-07
SUSD2	0.6784	3.037E-07
STK35	0.6608	7.824E-07
GALP	0.6557	1.016E-06
LOC100129484	0.6516	1.249E-06
BRD8	0.6512	1.273E-06
DNAJC7	-0.6497	1.374E-06
PHF12	0.6269	4.082E-06
FAM166A	0.6244	4.574E-06
MED1	0.6201	5.540E-06
RPL27	-0.6159	6.675E-06
C15orf39	0.6152	6.896E-06
ARFGAP1	0.6132	7.541E-06
EZR	0.6116	8.058E-06
LOC101928156	0.6116	8.075E-06
ZNF341	0.6111	8.254E-06
DNAJC5	0.6107	8.382E-06
MSL1	0.6107	8.402E-06
LSM14B	0.6099	8.683E-06
WDR83OS	-0.6093	8.909E-06
MYOCD	0.6055	1.049E-05
C12orf54	0.6046	1.089E-05
JPX	-0.6045	1.095E-05
THC2728923	0.603	1.166E-05
BM553298	0.6019	1.222E-05
NEXN-AS1	0.6013	1.252E-05
PPT1	0.5966	1.526E-05
TTTY1	0.5951	1.622E-05
AP5B1	-0.594	1.696E-05
CN291113	0.5931	1.760E-05
CACNB1	0.5904	1.963E-05
XM_001726725	0.5889	2.087E-05
PNMT	0.5858	2.362E-05
VN1R2	0.5854	2.398E-05
BOD1L2	0.5852	2.421E-05
C20orf166-AS1	0.585	2.435E-05
IFT20	0.5834	2.595E-05
MAP7D1	-0.5824	2.707E-05
MEGF8	-0.5781	3.204E-05
HN1L	0.5777	3.248E-05
TNKS1BP1	0.5776	3.257E-05
SKCG-1	0.5773	3.295E-05
LAMTOR5	-0.5772	3.315E-05
LINC00670	0.5762	3.450E-05
SLC47A1	0.5751	3.590E-05
Q59GX9	-0.5721	4.031E-05
BPIFA3	0.5717	4.092E-05
SNORA70B	-0.5717	4.094E-05
RPAIN	-0.5712	4.165E-05
GNL1	-0.5711	4.189E-05
RBBP5	0.5701	4.342E-05
ZNF180	-0.5693	4.489E-05
LONRF3	0.5687	4.587E-05
RPS8	-0.5675	4.800E-05
GGT1	0.567	4.891E-05
PSMB3	0.5658	5.118E-05
ATP5F1	-0.5644	5.385E-05
ARFRP1	0.563	5.668E-05
GCDH	-0.562	5.895E-05
NP511279	0.5619	5.917E-05
AK125546	0.5615	6.003E-05
ACTC1	0.5611	6.075E-05
PLCB3	0.5595	6.442E-05
C1orf195	0.559	6.571E-05
NT5C3B	-0.5589	6.598E-05
TCONS_00018486	0.5582	6.758E-05
PPP1R10	0.558	6.810E-05
LINC00313	0.558	6.815E-05
GPATCH8	-0.5567	7.147E-05
FAM215A	-0.5566	7.178E-05
SHKBP1	-0.556	7.326E-05
SKOR1	0.5559	7.352E-05
ZMYM6NB	-0.5558	7.384E-05
PIP4K2B	0.5554	7.494E-05
FAM134C	-0.555	7.589E-05
ZNRD1	-0.5548	7.658E-05
PEF1	-0.5543	7.799E-05
RPL10L	-0.5536	7.996E-05
PEA15	-0.553	8.174E-05
EIF3G	-0.5523	8.388E-05
TRY2P	0.552	8.449E-05
PTGES3L-AARSD1	-0.5519	8.509E-05
FLJ43879	0.5505	8.937E-05
EZH1	-0.5496	9.222E-05
EEF2	-0.5493	9.317E-05
SPRR4	0.5489	9.454E-05
LOC645188	0.5486	9.549E-05
FBXL20	0.5484	9.618E-05
AP5S1	0.5479	9.805E-05
WASF2	-0.5472	1.005E-04
RWDD3	-0.547	1.009E-04
