Gene	r	p
GRB7	0.9379	2.1616806167508066e-21
MIEN1	0.9278	5.0767236494938606e-20
STARD3	0.8917	2.1327888619217804e-16
PGAP3	0.8075	2.060510210307595e-11
CDK12	0.7917	9.4339274510917e-11
TNFAIP1	0.7661	8.676280455507561e-10
PHF12	0.7548	2.1086347844416693e-09
TAOK1	0.7387	6.908065524177759e-09
TRAF4	0.7236	1.9522072173052627e-08
MYO18A	0.7216	2.2265404016079383e-08
IL13RA1	0.7148	3.4723023789251705e-08
GIT1	0.7007	8.353663759805953e-08
EME1	0.7004	8.51350407447206e-08
PPP1R9B	0.6931	1.313175602391296e-07
RSAD1	0.6913	1.4589969643785654e-07
DHRS13	0.6894	1.6328526997705393e-07
TOX4	0.6794	2.877043741795265e-07
UNC119	0.6746	3.757205014957726e-07
MSL1	0.6651	6.238820890348064e-07
RPUSD4	0.6481	1.4855920160471586e-06
LRRC59	0.6479	1.500205866864273e-06
PXN	0.6473	1.546518940421101e-06
RHOB	0.647	1.5644316634795858e-06
ANKRD40	0.645	1.730018820913441e-06
CORO2A	0.635	2.7980193323199717e-06
SPATA20	0.6333	3.0244891139796976e-06
CCNK	0.632	3.2237133400377902e-06
ZDHHC3	0.6234	4.777498401344746e-06
FLOT2	0.6232	4.8306144777831e-06
CASC3	0.6224	5.0071967255920896e-06
SNAPC4	0.622	5.098859144143459e-06
ARFGAP1	0.6208	5.368029553493072e-06
ACOT4	0.6169	6.408469000343806e-06
EDARADD	0.6162	6.606963947904576e-06
SPAG9	0.6075	9.648363295364218e-06
XYLT2	0.6062	1.0176957012844076e-05
CISD3	0.6059	1.0301268472286987e-05
ERAL1	0.6055	1.0481801190861164e-05
UBE2Z	0.6035	1.140797179631077e-05
PLXNA3	0.603	1.167017220383281e-05
EPN3	0.6024	1.1940966982752948e-05
REM2	0.6018	1.22542084933886e-05
MLLT6	0.5967	1.5169137086834853e-05
RARA	0.5934	1.7349833481395903e-05
LUC7L3	0.5885	2.12394808518413e-05
EPS8L1	0.5879	2.1699986698348213e-05
TBC1D16	0.5865	2.301719265093148e-05
SUPT6H	0.5854	2.4022480888986504e-05
CRAT	0.5841	2.5277374352787805e-05
NUFIP2	0.5829	2.6468280419820144e-05
NLK	0.5777	3.2536110154258045e-05
OSBPL2	0.5775	3.26902713459189e-05
TBC1D2	0.5666	4.9664406238542775e-05
PHLDA2	0.5663	5.009686396370159e-05
HID1	0.566	5.083183012262745e-05
PIP4K2B	0.5634	5.590161942270884e-05
N4BP3	0.5599	6.349341276997035e-05
SLC38A1	0.5539	7.911852364285301e-05
ITGB6	0.5503	8.998128615787981e-05
HN1	0.548	9.758672253405522e-05
DLGAP4	0.5477	9.8710380065167e-05
ECI2	0.5446	0.0001100235405185
SOX13	0.5436	0.0001138470619135
TMEM62	0.5425	0.0001182142192052
SRCIN1	0.5419	0.0001208010718957
ZNF467	0.5377	0.0001396289701186
CSTF1	0.5376	0.0001397875030116
TMEM97	0.5374	0.0001407893082243
HSP90AA1	0.537	0.0001428564312459
POF1B	0.5367	0.0001443806943866
RRM1	0.5316	0.0001716007976621
POLDIP2	0.5311	0.0001743680870422
TMEM199	0.5293	0.0001852607463754
SLC12A2	0.5288	0.0001884383858232
FBXL20	0.5268	0.0002008427208979
TBC1D30	0.5187	0.0002618595835449
SEC16A	0.5183	0.0002654904235952
PPP1R10	0.518	0.0002679404286871
FASN	0.5169	0.0002772822310599
TMEM167A	0.5154	0.0002907094650118
CDR2L	0.5147	0.000297329941873
LASP1	0.5143	0.0003010759101329
ALOX15B	0.5143	0.0003018089109726
GOLGA1	0.5128	0.0003157583913865
INF2	0.5126	0.0003180609203982
ZDHHC20	0.5111	0.0003339952685796
GSDMA	0.5067	0.0003821851337076
IVNS1ABP	0.5035	0.0004218847025823
KIAA1524	0.5028	0.000430981731299
DCTN5	0.5027	0.0004335051044566
ZNF652	0.5021	0.0004405630987012
VAPB	0.5018	0.0004451677153279
FLOT1	0.5013	0.0004515902188293
KMO	0.5006	0.0004621650118379
VPS13B	0.4989	0.000485557605454
EHHADH	0.4988	0.0004873922122578
UBR1	0.4978	0.0005026373652393
PCGF2	0.4975	0.0005064249676894
CWC25	0.4957	0.0005351198820804
SUV420H2	0.4942	0.0005599489974503
