Gene	r	p
GRB7	0.8034	8.618975229801946e-29
CDK12	0.7692	4.342626525019401e-25
MED1	0.7077	8.017732203991995e-20
PIP4K2B	0.6709	2.7806312351976267e-17
PSMD3	0.6704	3.0014017825992804e-17
STARD3	0.6698	3.283093286857455e-17
TCAP	0.6439	1.2473938567848193e-15
FBXL20	0.6377	2.8020623226227266e-15
PNMT	0.6291	8.478720160519172e-15
LASP1	0.6075	1.183147538827607e-13
ORMDL3	0.6024	2.122116332316205e-13
MED24	0.5949	4.98003356530397e-13
RPL19P12	0.5701	7.15132286700182e-12
RPL19	0.5501	5.284574410662456e-11
SRCIN1	0.5496	5.5285038690407735e-11
CWC25	0.5343	2.3313766826791915e-10
PCGF2	0.5331	2.6028880569260007e-10
MLLT6	0.5319	2.8834949308846715e-10
PSMB3	0.528	4.1229403154597776e-10
WIPF2	0.5184	9.606934237715299e-10
RPL23P8	0.5103	1.925987808987034e-09
CASC3	0.5032	3.4842050399152373e-09
MSL1	0.5023	3.7440535528701505e-09
KCNQ5	-0.5006	4.320239698829039e-09
MIEN1	-0.4998	4.617706214940467e-09
SUPT6H	0.492	8.660000157979044e-09
GSDMB	0.4836	1.6774795987949273e-08
MYO18A	0.479	2.3881818829400593e-08
TIAF1	0.479	2.3881818829400593e-08
ZNF467	0.4787	2.448215123317917e-08
EPN3	0.4752	3.188429309196788e-08
BAG2	-0.4741	3.4775200782100364e-08
RPL23	0.4595	1.012602387752409e-07
SPDEF	0.4588	1.0683892533866973e-07
KIAA0100	0.4581	1.1240306588286048e-07
PHF12	0.4552	1.3785688317850157e-07
NUFIP2	0.451	1.851980505296153e-07
GATA2	0.4457	2.6899931983986705e-07
TMEM45B	0.4444	2.9368167427863144e-07
TRAF4	0.4408	3.754437424739565e-07
ERAL1	0.4393	4.137276211135027e-07
SYNRG	0.4325	6.514912363231244e-07
LOC102724163	0.4322	6.676558800530298e-07
FLOT2	0.4301	7.626010096194356e-07
ACACA	0.4295	7.964839108922388e-07
LURAP1L	0.4258	1.0118808857895823e-06
FGFR4	0.4237	1.1580966198645857e-06
WDR12	-0.423	1.2140927726861164e-06
TP53I11	0.4228	1.2240669145978478e-06
KRT8	0.4215	1.3342960130884452e-06
PPP1R10	0.4173	1.7414334820860156e-06
MRPL45	0.4158	1.910355651029594e-06
ZNF789	-0.4149	2.0205543952316576e-06
GCSH	-0.41	2.7304906411416957e-06
RAPGEFL1	0.4083	3.0423340158448263e-06
HID1	0.407	3.2857179750478678e-06
TRPM4	0.4066	3.355745024538322e-06
PPFIBP2	0.405	3.710086075293212e-06
PLA2G4F	0.4044	3.8480438667034e-06
TMEM86A	0.4039	3.967957736908222e-06
SOX13	0.4036	4.030984546179217e-06
CORO2A	0.4035	4.062317467858801e-06
JUP	0.4028	4.225918132967763e-06
KCNJ12	0.4012	4.656999674984329e-06
KCNJ18	0.4012	4.656999674984329e-06
CNTNAP2	0.4007	4.810656443161983e-06
UCP2	0.4005	4.842081586499611e-06
KMO	0.3987	5.400890607582135e-06
UNC119	0.3982	5.580932423498668e-06
SLC2A10	0.3962	6.250674018485977e-06
DRP2	0.3953	6.581195436864149e-06
THNSL1	-0.3947	6.840044523991747e-06
PIGY	-0.3944	6.967045522477118e-06
FAM110A	0.3934	7.3808337521317875e-06
MIR4324	0.3933	7.412850944419008e-06
SOCS7	0.3926	7.710717598939843e-06
NUDCD2	-0.3922	7.906258392681827e-06
KCTD9	-0.3921	7.951194563484888e-06
SGK494	0.391	8.448975255015416e-06
INPP5J	0.3909	8.530488360272924e-06
ELAC1	-0.3907	8.609494112785476e-06
SERHL2	0.3905	8.74468589193444e-06
VPS18	0.3902	8.889174945587916e-06
CACFD1	0.3897	9.135324189868316e-06
PLEKHA6	0.389	9.488856991747926e-06
LINC00930	0.3882	9.965111591375983e-06
SPRED2	0.388	1.0085897729190772e-05
IKZF3	0.3874	1.043789038432874e-05
SPINT1	0.3865	1.0935690855408807e-05
TSEN15	-0.3842	1.2460627194204309e-05
WFS1	0.3842	1.2526098675790202e-05
IYD	0.3841	1.2563219678110163e-05
LOC101060389	0.3823	1.3884734736763934e-05
LOC101060376	0.3823	1.3884734736763934e-05
HPX	0.3822	1.4007580726431022e-05
CYP4Z2P	0.3818	1.432460113223144e-05
CPD	0.3816	1.445864547574321e-05
N4BP3	0.3802	1.5614840367376947e-05
ABHD11	0.3784	1.7273929632273625e-05
BCAS1	0.3784	1.7290306927058742e-05
TSPAN9	0.3776	1.807867310555633e-05
MISP	0.3776	1.808214926502254e-05
PRR15	0.3774	1.8284418455408263e-05
ERGIC1	0.3773	1.832583458325992e-05
TAOK1	0.3773	1.833176110933991e-05
KATNAL2	-0.3765	1.9151004741911853e-05
SULT2B1	0.3748	2.104393842930513e-05
SLC9A6	-0.3741	2.1839036294189658e-05
TMEM199	0.373	2.327799710597771e-05
BPIFA2	-0.3727	2.362241326529601e-05
ARRDC1	0.3726	2.3792939176138743e-05
TTC19	-0.3725	2.3914114007103608e-05
SLC25A1	0.3724	2.3960840585428718e-05
TPCN1	0.371	2.5909528609792256e-05
ABHD15	0.3708	2.6254575785118416e-05
ADAM32	-0.3706	2.652435747185093e-05
SDHB	-0.3704	2.673301688301332e-05
MYLK4	-0.3694	2.8242202425829884e-05
TMEM127	0.3692	2.854051177594241e-05
SCARNA15	-0.3683	2.9890308068612863e-05
NSMAF	-0.3682	3.005326390255278e-05
SLC9A1	0.3677	3.0992694040639485e-05
ST3GAL6	-0.3674	3.138213245860533e-05
CTNNA1	0.3673	3.158607514612323e-05
LINC00672	0.3668	3.237890375366153e-05
RHOB	0.3663	3.334892209818056e-05
ENKUR	-0.3661	3.363214403259043e-05
MED21	-0.3655	3.4838548306486024e-05
PROCA1	0.3653	3.5216232420174614e-05
CCDC87	0.3647	3.61951410347956e-05
BCL2L1	0.3639	3.793330031288825e-05
PRPS1	-0.3639	3.7933853710617645e-05
GPRC5C	0.3637	3.8267936392171774e-05
TP53I13	0.3636	3.838180590243255e-05
FAM135A	-0.3636	3.8458950096082426e-05
RARA	0.3635	3.869463205344784e-05
NEXN-AS1	0.3627	4.038428307984251e-05
OR7E5P	-0.3623	4.1125432143520265e-05
P2RY2	0.3613	4.346674768522455e-05
AGR2	0.361	4.398390547171647e-05
SLC44A4	0.3606	4.493320868085396e-05
ASUN	-0.3606	4.500037209099117e-05
FOXC1	-0.3602	4.59146875617064e-05
ALDH4A1	0.3594	4.792435220766031e-05
TRIM62	0.3589	4.918274779829682e-05
POLR3G	-0.3567	5.515871161305215e-05
RAB26	0.3563	5.628484971997457e-05
FAIM	-0.356	5.7173744940387536e-05
C1orf109	-0.3558	5.762081811565375e-05
LIPE	0.3556	5.8371015115896674e-05
MMGT1	-0.3554	5.883696340807759e-05
ST7-OT4	-0.3553	5.936640870933122e-05
ZCCHC7	-0.3551	5.9753769560461385e-05
RND1	0.354	6.324959358370346e-05
GDF5	-0.3539	6.350371239216206e-05
FAM83E	0.3536	6.476979493915812e-05
C15orf41	-0.3535	6.493995630297005e-05
ATP2A3	0.3534	6.533564838018709e-05
FASN	0.3527	6.755759144751133e-05
DYRK3	-0.3523	6.918565691327095e-05
TMEM132A	0.352	6.992905963040627e-05
RIOK1	-0.3513	7.261785184484278e-05
SEMA4B	0.3512	7.311162511378288e-05
RAB5C	0.3509	7.418519939205408e-05
ARHGAP1	0.3502	7.670859534913032e-05
L3HYPDH	-0.3502	7.679288587689264e-05
TSPAN15	0.35	7.744798838665919e-05
GALNT6	0.3495	7.953140461253168e-05
HMGN4	-0.3491	8.128142785826115e-05
SLC9B2	-0.3487	8.274534017341007e-05
ARHGEF16	0.3486	8.302944672571052e-05
CREB3L1	0.3479	8.618216208684158e-05
PRKRA	-0.3478	8.645936926004937e-05
DHCR24	0.3473	8.878083287824178e-05
FAM174B	0.3462	9.378382167274188e-05
TADA2A	0.346	9.452606969144648e-05
NOP58	-0.346	9.463630640473102e-05
TMEM231	-0.3459	9.534998013320928e-05
CAPN13	0.3458	9.56136136683492e-05
LRRFIP2	-0.3458	9.579271026113468e-05
SUFU	0.3455	9.720665924266763e-05
IQCJ	-0.3455	9.72114675679343e-05
SCHIP1	-0.3455	9.72114675679343e-05
IQCJ-SCHIP1	-0.3455	9.72114675679343e-05
SLC16A1	-0.3453	9.79684701252259e-05
ABL1	0.3453	9.825746744802153e-05
DNAJC2	-0.3452	9.840268451211328e-05
OGFRL1	-0.345	9.961225999016629e-05
ODC1	-0.3449	9.997113241721326e-05
ZNF529	-0.3445	0.0001020816614965
SLC29A4	0.3444	0.0001026558420328
PAX9	0.344	0.000104544879423
C9orf47	0.344	0.0001048075160459
S1PR3	0.344	0.0001048075160459
AGPAT5	-0.3437	0.0001063611851234
UPF3B	-0.3435	0.000107140385449
LGALS9	0.3435	0.0001072993427918
MAGOHB	-0.3435	0.0001073655457402
TBC1D2	0.3431	0.0001096435471555
FA2H	0.3429	0.0001103291650267
STS	0.3423	0.000113815797549
NFXL1	-0.3423	0.0001140099456408
UPF1	0.3422	0.0001146181874279
NBEAL2	0.342	0.0001153181949714
RAB1B	0.3419	0.0001158205435014
TFCP2L1	-0.3419	0.0001161984659755
SLC30A2	0.3419	0.0001162043647093
RREB1	0.3416	0.0001177479395602
CRAT	0.3416	0.0001180268147219
AKT1	0.3415	0.000118348660677
ME2	-0.3414	0.0001190433999311
POLR1E	-0.3413	0.0001194814571386
ZNF710	0.3412	0.0001202999038331
OR52E8	-0.3411	0.0001205093940694
SPATA20	0.3405	0.0001243309814103
CREB3L4	0.34	0.000127122595408
MPLKIP	-0.3393	0.0001318419358799
BIK	0.3392	0.0001324614126465
TMPRSS4	0.3392	0.0001326461487228
ZNF286A	-0.339	0.0001339333205023
PDCD5	-0.3389	0.0001342871156063
SPINK8	0.3389	0.0001344445914227
TRNP1	-0.3384	0.0001377997296013
EPM2A	-0.3384	0.0001378343028935
IRS2	-0.3383	0.0001385939197602
SEH1L	-0.3382	0.0001386424084986
SOX2-OT	-0.3382	0.0001386637363576
RPL13AP17	-0.3379	0.0001410096626414
SGSM1	0.3378	0.0001414462069193
F7	0.3377	0.0001421100136847
USP1	-0.3376	0.0001433167595455
GDF15	0.3371	0.0001467909487906
LOC101927746	-0.3368	0.0001483561971258
BCAM	0.3367	0.0001494242828525
CAB39L	0.3367	0.0001494405619774
LOC102723859	0.3365	0.0001508034977406
TBC1D3C	0.3365	0.0001508034977406
TBC1D3	0.3365	0.0001508034977406
ARMC12	-0.3364	0.0001514743549918
SSH2	0.3364	0.0001517193516807
NIFK	-0.3363	0.0001521967861853
C9orf152	0.3361	0.0001536289376749
GNRH1	-0.3361	0.0001540344963102
SLC16A14	0.336	0.0001548159090881
LOC149684	-0.3358	0.0001560474252894
TSR1	-0.3357	0.0001569725448196
B4GALNT2	0.3354	0.0001589629970415
TRERF1	0.3352	0.0001604601827277
NIPA2	-0.3351	0.000161178445716
C9orf169	0.3349	0.0001632380707316
HNRNPLL	-0.3345	0.0001662897874528
PMAIP1	-0.3344	0.0001670698147611
POLDIP2	0.3342	0.0001686182551724
PSMA3	-0.334	0.0001698171840461
CEACAM6	0.3336	0.0001729958456447
ST6GALNAC5	-0.3333	0.0001760224350796
ZNF485	-0.333	0.0001787796647202
LOC102723505	-0.3323	0.0001848013723997
ANKRD18A	-0.3319	0.0001875493950083
APMAP	0.3318	0.0001890880758015
SEC16A	0.3317	0.0001896492880153
PRKCD	0.3316	0.0001908270325522
GOSR1	0.3314	0.0001928539694342
ABCC11	0.3312	0.0001945795538227
FAM66C	-0.3309	0.000197531557464
DDX20	-0.3302	0.0002036492379874
RAP1A	-0.33	0.0002059666824288
FAM27E3	-0.3297	0.000208348820974
TAC4	-0.3294	0.0002110631196848
EXOG	-0.3293	0.0002123735337505
BCRP3	0.3292	0.0002138559468834
FOXA1	0.3289	0.0002164591505523
HAS1	0.3288	0.0002177072904757
EMG1	-0.3281	0.0002245090427665
PEX11A	0.3278	0.0002279482718182
CDC6	0.3277	0.0002295541642876
ZNF451	-0.327	0.0002366929442783
TBC1D3F	0.3269	0.0002377126430865
LOC101060321	0.3269	0.0002377126430865
MARK2	0.3266	0.0002415794647066
SLC39A14	-0.3265	0.0002422390448748
PRSS12	-0.3264	0.0002428464834521
SSH3	0.3263	0.0002440024412262
GALNT10	0.3261	0.0002469236166965
L3MBTL4	-0.326	0.0002479542769554
GOLGA2	0.326	0.0002482621284515
PRPS1L1	-0.3259	0.0002489229719935
LNX1	0.3257	0.0002519857838126
KLHL15	-0.3256	0.0002524251136191
SERPINB7	-0.3255	0.0002542736122942
FAM109A	0.3252	0.0002572044926954
ACBD7	-0.3252	0.000257304671659
MYBL1	-0.3247	0.0002631308037131
SNX7	-0.3246	0.0002651133967449
SF3A3	-0.3244	0.0002666226240792
SLC22A23	0.3242	0.0002697581257455
PDGFB	0.3241	0.0002712655501162
SEC22A	-0.324	0.0002717847368748
PGBD5	-0.3239	0.0002735157790405
METTL4	-0.3238	0.0002746993973506
CYB561	0.3235	0.0002787033691556
CLCA2	0.3227	0.0002882969369216
SLC12A2	0.3226	0.0002899833784907
SERHL	0.3225	0.0002918418207121
MAN2B2	0.3224	0.0002922524757585
TARBP1	-0.3223	0.0002941015535303
PTK6	0.3215	0.0003046248070183
LINC00957	-0.3214	0.0003060605514523
ABCC12	0.3213	0.0003086037683408
POLR3C	-0.321	0.0003126542468837
ATP2C2	0.321	0.0003126633450426
SUCLG2-AS1	-0.3208	0.0003150257729687
PRKAG2	-0.3207	0.0003170324261451
LOC102723517	-0.3206	0.0003180734675341
LFNG	0.3204	0.0003203200785123
DUSP4	0.32	0.0003262938621839
CISD3	0.3198	0.0003292176024443
QPRT	0.3197	0.0003309238932115
TBC1D3B	0.3197	0.0003315248117646
NOC3L	-0.3196	0.0003325093417511
KIAA1549	0.3195	0.0003336520638393
TMEM62	0.3193	0.0003367570285553
KLHDC7A	0.3188	0.0003446838034328
MYH14	0.3188	0.0003455543748548
OVGP1	0.3186	0.0003489511649589
TBC1D3H	0.3185	0.000349105764553
RSU1	-0.3185	0.0003491937342982
SCO1	-0.3185	0.0003498651569274
PPY2	-0.3181	0.0003568967369746
EHMT1	0.3173	0.000369006397606
ULK1	0.3173	0.0003694873161284
GPR63	-0.3172	0.0003704304367441
DPY19L2P2	-0.3169	0.0003762432749769
CACNA1H	0.3168	0.0003770413932372
NDUFS5	-0.3165	0.0003835386779658
UTP11L	-0.3163	0.0003857668838531
AR	0.3159	0.0003937602386512
INPP4B	0.3156	0.0003985383244036
RMND5B	0.3155	0.0003996488486152
STARD10	0.3153	0.0004046680710385
GPR160	0.3153	0.0004047186064829
LOC103021295	-0.3152	0.0004065880511218
UBE2G1	-0.3152	0.0004065880511218
FAM90A1	-0.3151	0.000407492418107
FAM27A	-0.3147	0.0004141179262772
PP14571	0.3147	0.0004147124691039
ZFAND3	0.3144	0.0004210820490186
TANC2	0.314	0.0004279012639242
RIIAD1	0.314	0.0004284072040703
REXO2	-0.314	0.0004289172796371
PIK3C2B	0.3137	0.0004340490380201
MIR4741	-0.3135	0.0004381179142745
RBBP8	-0.3135	0.0004381179142745
TOB2P1	0.3133	0.0004420425327645
SDC2	-0.3131	0.0004447547341993
FBXO25	-0.3131	0.0004451993912083
PTS	-0.3131	0.000446337245651
TP53INP2	0.313	0.0004476293367222
SLC38A1	0.3129	0.0004493840425722
PACS1	0.3126	0.0004553585423149
FGF18	-0.3125	0.0004569526577234
LOC646903	-0.3123	0.0004622447758089
TMEM56-RWDD3	-0.3121	0.0004658961436397
RWDD3	-0.3121	0.0004658961436397
TMEM56	-0.3121	0.0004658961436397
FAM129B	0.312	0.0004678519956546
NUDT4P2	0.312	0.0004682200089565
NUDT4P1	0.312	0.0004682200089565
NUDT4	0.312	0.0004682200089565
FAM27C	-0.3119	0.0004703248121664
ARHGAP21	-0.3118	0.0004731181675871
SYT17	0.3117	0.0004734652251314
RIMS1	0.3117	0.0004750292159287
LOC102723354	-0.3115	0.0004785962100616
LAMTOR5	-0.3115	0.0004789959172859
SCML2	-0.3111	0.0004879642892505
CNBP	-0.3101	0.0005085666114056
THRA	0.31	0.0005114117808405
ILF2	-0.3099	0.0005140916386501
PRODH	0.3097	0.0005169284879403
N6AMT2	-0.3097	0.0005171583460867
FARSB	-0.3096	0.0005194256196636
RAB23	-0.3094	0.0005245308731082
CEPT1	-0.309	0.0005351058213493
HRASLS2	0.3089	0.0005355157366693
KIAA1244	0.3089	0.0005355413770378
NLGN3	0.3089	0.0005358222801791
NT5DC3	-0.3088	0.0005382284757548
RINT1	-0.3082	0.0005525749669058
SH3BP4	0.3082	0.0005534843365534
SOX9-AS1	-0.3081	0.0005550291535573
LOC400553	-0.3081	0.0005565716363621
GUCD1	0.3079	0.0005599737640077
VPS37C	0.3079	0.0005614311236325
CEBPG	-0.3075	0.0005691341231692
SFT2D2	-0.3072	0.0005768835411944
CECR7	-0.307	0.0005830641075763
RFXAP	-0.3069	0.0005849288879419
LOC440434	0.3069	0.0005858511087306
TSKU	0.3068	0.0005868465047305
LRRC26	0.3067	0.0005899998397343
HBBP1	-0.3065	0.0005953414764719
LILRB5	0.3063	0.0005999165156326
GPR89A	-0.3063	0.0006014042559277
ZFYVE9	-0.306	0.0006083932625434
OR56A3	-0.3059	0.0006117273671041
DEGS2	0.3058	0.000614403540319
CBX3P2	-0.3057	0.0006177036855295
ABCC3	0.3055	0.0006207303506323
SYTL5	0.3052	0.000630801985305
LINC01091	0.3049	0.0006379095550654
LOC101927580	-0.3049	0.0006396110604981
TMEM27	-0.3046	0.0006473722740784
TCEAL3	0.3046	0.0006480991800203
MYLIP	0.3044	0.0006514248698792
PRPSAP2	-0.3044	0.0006515778707829
BEX2	-0.3044	0.0006527151307072
TBC1D30	0.3043	0.0006558042223431
RAB27B	0.3041	0.0006609218109993
FFAR2	0.304	0.0006638999937922
MS4A2	0.3039	0.0006659143003526
MIR221	-0.3039	0.0006672177858953
PSMG2	-0.3039	0.0006677185856037
SLC6A16	0.3037	0.0006713869118185
SLC52A3	0.3035	0.0006773168197809
SLC37A1	0.3035	0.0006777172795631
PTPLA	-0.3034	0.000680203776904
POLR1C	-0.303	0.0006916525354088
SERINC2	0.3029	0.0006970670548986
LRRC3C	0.3029	0.0006971699817415
TBC1D3P2	0.3028	0.0006974390446084
BLNK	0.3027	0.0007025902575057
CLDN3	0.3027	0.0007030975033668
POTEF	0.3026	0.0007034014258209
PRRT2	0.3025	0.000706617929477
TPSAB1	0.3025	0.0007074676076162
ZBTB42	0.3023	0.0007139523136907
TRIM3	0.3023	0.0007148788246432
KLHL21	-0.3022	0.0007178405417681
CHRNA1	0.3021	0.0007215609843242
ELMO2	0.3019	0.0007269933038991
DUSP14	0.3018	0.0007289317966728
MLPH	0.3017	0.0007317815115427
CPZ	0.3016	0.0007367977791863
TADA1	-0.3015	0.0007374312648697
BCAS2	-0.3012	0.0007479957531456
RDH16	0.3011	0.0007520001010504
KMT2D	0.3008	0.0007608232863709
NR1D1	0.3008	0.0007621944474561
EZR	0.3007	0.0007654010413461
CFL2	-0.3006	0.0007681062371763
FUT2	0.3005	0.0007702178636616
MPP6	-0.3003	0.0007767900277472
CHCHD7	-0.3	0.0007883124719544
TBC1D23	-0.2999	0.0007902984612836
FBP1	0.2997	0.0007966616122047
PRSS8	0.2996	0.00080070935626
C3orf17	-0.2993	0.0008118092125194
KLHL26	0.2992	0.0008155691320286
PM20D2	-0.2991	0.0008191726689569
ABCA12	0.299	0.0008203332977379
EGFL7	0.2989	0.0008257448074374
IQCD	0.2987	0.0008305451826854
LINC00240	-0.2987	0.0008336083371315
LMTK3	0.2986	0.0008353616536829
TM4SF18	-0.2984	0.0008442783537178
HPRT1	-0.2981	0.0008540083200684
SPRY1	0.2981	0.000854999867776
CERCAM	0.298	0.0008558963442054
TPSB2	0.298	0.000856723534713
NRK	0.298	0.000857768344478
ERMP1	0.2979	0.0008599440376982
MGLL	0.2978	0.0008626776463393
PCDH20	0.2974	0.0008787932236508
TIAM2	-0.2973	0.0008833196955931
WASF1	-0.2972	0.0008849925619376
CLN3	0.2971	0.000891745663447
SNORD4A	0.297	0.0008943717163804
TMEM17	-0.2968	0.0009005690642012
CACNB3	0.2967	0.0009065672425474
COX11	-0.2965	0.0009117403330827
KRT18	0.2965	0.0009136434042378
CHORDC1	-0.2964	0.0009152213813183
LILRA6	0.2963	0.0009190831277156
LILRB3	0.2963	0.0009190831277156
TMEM184B	0.2962	0.0009258076888563
CUX1	0.296	0.0009325434420585
DGKD	0.296	0.0009337359688658
BMF	0.2959	0.0009349774328239
LRP12	-0.2958	0.0009384854002476
LYRM9	0.2958	0.0009394717869819
GAD1	-0.2957	0.0009433028754981
CCDC141	0.2955	0.0009513637065571
ANKRD20A1	-0.2955	0.0009521274518571
FGFR2	-0.2953	0.0009595483225858
