Gene	r	p	Name
MLK4	0.9099	1.087893578974617e-47	mitogen-activated protein kinase kinase kinase 21
GRB7	0.8974	1.8290545462620645e-44	growth factor receptor bound protein 7
STARD3	0.8228	3.162615549172411e-31	StAR related lipid transfer domain containing 3
MAP3K9	0.8197	7.949608436615994e-31	mitogen-activated protein kinase kinase kinase 9
MIEN1	0.7714	2.583851090359409e-25	migration and invasion enhancer 1
CDK12	0.6783	9.220875382420549e-18	cyclin dependent kinase 12
FBXL20	0.6386	2.495087273270575e-15	F-box and leucine rich repeat protein 20
KIAA0100	0.6028	2.0295648223765417e-13	KIAA0100
MED1	0.5799	2.560691785803847e-12	mediator complex subunit 1
MYO18A	0.5699	7.298352277816217e-12	myosin XVIIIA
PIP4K2B	0.5547	3.3789259130921293e-11	phosphatidylinositol-5-phosphate 4-kinase type 2 beta
PNMT	0.5495	5.604805895241457e-11	phenylethanolamine N-methyltransferase
TRAF4	0.5437	9.710279824367012e-11	TNF receptor associated factor 4
SRCIN1	0.5331	2.5987574851100606e-10	SRC kinase signaling inhibitor 1
CCNK	0.525	5.381252523110928e-10	cyclin K
FLOT2	0.5094	2.075294732603025e-09	flotillin 2
CWC25	0.4616	8.738723156704608e-08	CWC25 spliceosome associated protein homolog
ACACA	0.4612	8.960613029195674e-08	acetyl-CoA carboxylase alpha
ADAM10	0.4533	1.5747832550374033e-07	ADAM metallopeptidase domain 10
NUFIP2	0.4474	2.37962659634891e-07	nuclear FMR1 interacting protein 2
MLLT6	0.4423	3.375211187860765e-07	MLLT6, PHD finger containing
PPP1R10	0.4383	4.427561054203352e-07	protein phosphatase 1 regulatory subunit 10
SPAG5	0.435	5.534595631297202e-07	sperm associated antigen 5
PIGS	0.431	7.218482171663151e-07	phosphatidylinositol glycan anchor biosynthesis class S
TAOK1	0.4308	7.283419320679804e-07	TAO kinase 1
SPTLC1	0.4305	7.46803974247711e-07	serine palmitoyltransferase long chain base subunit 1
LPCAT1	0.4273	9.145821645717873e-07	lysophosphatidylcholine acyltransferase 1
CDC42SE1	0.4271	9.28014212711428e-07	CDC42 small effector 1
CPD	0.4233	1.1910011066664986e-06	carboxypeptidase D
FAM213A	0.4201	1.4563832466900362e-06	peroxiredoxin like 2A
ITGB6	0.4192	1.5401497850588116e-06	integrin subunit beta 6
C7orf43	0.4175	1.7103157735719769e-06	trafficking protein particle complex subunit 14
NBEAL2	0.4144	2.0802288997292296e-06	neurobeachin like 2
PRR5-ARHGAP8	0.4097	2.7911524734311304e-06	PRR5-ARHGAP8 readthrough
LASP1	0.4079	3.117731290416073e-06	LIM and SH3 protein 1
FLOT1	0.4072	3.241620700374593e-06	flotillin 1
SLFN5	0.4072	3.243441847993025e-06	schlafen family member 5
SUPT6H	0.4049	3.72254931536063e-06	SPT6 homolog, histone chaperone and transcription elongation factor
FAM3A	0.4033	4.0999690782680304e-06	FAM3 metabolism regulating signaling molecule A
PIGT	0.4032	4.139178842597675e-06	phosphatidylinositol glycan anchor biosynthesis class T
TOX4	0.4025	4.309867008487005e-06	TOX high mobility group box family member 4
RAB27A	0.4011	4.677628883049364e-06	RAB27A, member RAS oncogene family
PARD6B	-0.3997	5.079834306168462e-06	par-6 family cell polarity regulator beta
UNC119	0.3965	6.161545085738017e-06	unc-119 lipid binding chaperone
ANO10	0.3964	6.174684654327808e-06	anoctamin 10
GPAA1	0.3957	6.449693807470961e-06	glycosylphosphatidylinositol anchor attachment 1
IGF2R	0.3933	7.435611721797358e-06	insulin like growth factor 2 receptor
TBC1D30	0.3917	8.13536812241295e-06	TBC1 domain family member 30
PCSK9	0.3887	9.659997352408064e-06	proprotein convertase subtilisin/kexin type 9
ATP2A2	0.385	1.1925495987970762e-05	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
PHF12	0.3837	1.2884743762145578e-05	PHD finger protein 12
ALG8	0.3831	1.3308007527206836e-05	ALG8 alpha-1,3-glucosyltransferase
MARCHF6	0.382	1.4144253752832456e-05	membrane associated ring-CH-type finger 6
POR	0.3798	1.602327801163158e-05	cytochrome p450 oxidoreductase
LINC01873	0.379	1.6729509602457728e-05	long intergenic non-protein coding RNA 1873
STX5	0.3787	1.6951277898077316e-05	syntaxin 5
MARK2	0.3787	1.6988432695037377e-05	microtubule affinity regulating kinase 2
LPGAT1	0.3772	1.843243563441984e-05	lysophosphatidylglycerol acyltransferase 1
ERMP1	0.377	1.8653275536697187e-05	endoplasmic reticulum metallopeptidase 1
PRODH	0.3765	1.9228783641972262e-05	proline dehydrogenase 1
C2CD2	0.376	1.9776684498158988e-05	C2 calcium dependent domain containing 2
TMEM184B	0.3752	2.058862480011108e-05	transmembrane protein 184B
WFS1	0.375	2.088527883379845e-05	wolframin ER transmembrane glycoprotein
CKAP4	0.3732	2.3048173249942164e-05	cytoskeleton associated protein 4
SRD5A3	0.372	2.4484393116271653e-05	steroid 5 alpha-reductase 3
SIGLEC14	-0.3716	2.505632076527543e-05	sialic acid binding Ig like lectin 14
SPINT1	0.3705	2.6673302133903257e-05	serine peptidase inhibitor, Kunitz type 1
FAM3B	0.3686	2.946061507831344e-05	FAM3 metabolism regulating signaling molecule B
ACBD5	0.3686	2.949968528602708e-05	acyl-CoA binding domain containing 5
HNRNPLL	-0.3682	3.0084353249461253e-05	heterogeneous nuclear ribonucleoprotein L like
TMUB1	0.3646	3.645914938854785e-05	transmembrane and ubiquitin like domain containing 1
EPX	0.3639	3.792411172080728e-05	eosinophil peroxidase
INF2	0.3638	3.810930929116324e-05	inverted formin 2
EXOC4	0.3637	3.832944187829568e-05	exocyst complex component 4
MED24	0.3637	3.8335956691277805e-05	mediator complex subunit 24
FREM2	-0.3633	3.909623119022778e-05	FRAS1 related extracellular matrix 2
HSD17B12	0.3623	4.120356301615792e-05	hydroxysteroid 17-beta dehydrogenase 12
LGALS9	0.3622	4.133392155820532e-05	galectin 9
STX3	0.3614	4.308868656665628e-05	syntaxin 3
WIPF2	0.3611	4.376842702453964e-05	WAS/WASL interacting protein family member 2
NCLN	0.3607	4.488866217512525e-05	nicalin
CCDC58	-0.3602	4.6053769435987805e-05	mitochondrial matrix import factor 23
RAB29	0.36	4.655830799279303e-05	RAB29, member RAS oncogene family
RHOB	0.3598	4.6853207689113744e-05	ras homolog family member B
PIGK	0.3587	4.960356839291884e-05	phosphatidylinositol glycan anchor biosynthesis class K
NATD1	0.3578	5.219842183579689e-05	N-acetyltransferase domain containing 1
SH3BP4	0.3565	5.5698578973001216e-05	SH3 domain binding protein 4
TMEM63A	0.3564	5.6016042715624265e-05	transmembrane protein 63A
FAM222B	0.356	5.7028655451539775e-05	family with sequence similarity 222 member B
TTYH3	0.3549	6.044728084364368e-05	tweety family member 3
ARL6	-0.3536	6.45780092756533e-05	ADP ribosylation factor like GTPase 6
CCDC6	0.3534	6.528846374955616e-05	coiled-coil domain containing 6
LSS	0.3527	6.777297051565425e-05	lanosterol synthase
TMEM135	0.352	7.018382289833498e-05	transmembrane protein 135
CLCA2	0.352	7.026674223010322e-05	chloride channel accessory 2
GIT1	0.3509	7.408329336401079e-05	GIT ArfGAP 1
MYO1B	0.3508	7.432271886911296e-05	myosin IB
PAGE2B	0.3502	7.694029785710224e-05	PAGE family member 2B
GALNT7	0.3501	7.718852474494715e-05	polypeptide N-acetylgalactosaminyltransferase 7
ELOF1	-0.3484	8.403479270628834e-05	elongation factor 1
CCP110	-0.3482	8.486692698465395e-05	centriolar coiled-coil protein 110
SPTLC2	0.348	8.583272562989677e-05	serine palmitoyltransferase long chain base subunit 2
ORMDL2	0.3474	8.827346313284703e-05	ORMDL sphingolipid biosynthesis regulator 2
NCEH1	0.3472	8.947587431514744e-05	neutral cholesterol ester hydrolase 1
UNC45A	0.3471	8.958461429486704e-05	unc-45 myosin chaperone A
PRG3	0.3469	9.07294737594659e-05	proteoglycan 3, pro eosinophil major basic protein 2
TNPO3	0.3468	9.096480522486768e-05	transportin 3
MAGT1	0.3465	9.254920789296024e-05	magnesium transporter 1
FLNB	-0.3462	9.36122416904792e-05	filamin B
MGST1	0.3448	0.0001007716882901	microsomal glutathione S-transferase 1
ZGRF1	0.3445	0.0001019684959995	zinc finger GRF-type containing 1
SLC12A2	0.3442	0.0001036784643671	solute carrier family 12 member 2
SCD	0.3441	0.0001042171886275	stearoyl-CoA desaturase
PRG2	0.3438	0.0001055819103196	proteoglycan 2, pro eosinophil major basic protein
ATL3	0.342	0.0001156554770856	atlastin GTPase 3
DIP2A	0.3419	0.0001159286481508	disco interacting protein 2 homolog A
TSPAN15	0.3418	0.0001166259538667	tetraspanin 15
SEC62	0.3409	0.0001220037401765	SEC62 homolog, preprotein translocation factor
VMP1	0.3399	0.0001279730706092	vacuole membrane protein 1
SCARB2	0.3395	0.0001301796541844	scavenger receptor class B member 2
PEX11A	0.338	0.0001406103695478	peroxisomal biogenesis factor 11 alpha
FAAH2	-0.3379	0.0001411108192144	fatty acid amide hydrolase 2
PEX16	0.3377	0.0001423587082616	peroxisomal biogenesis factor 16
AGPAT3	0.3376	0.0001430731693029	1-acylglycerol-3-phosphate O-acyltransferase 3
RAB24	0.3367	0.000149349784606	RAB24, member RAS oncogene family
KRI1	-0.3363	0.0001526907454377	KRI1 homolog
SLC27A3	0.3356	0.0001572338315073	solute carrier family 27 member 3
NTHL1	-0.3356	0.0001575330487069	nth like DNA glycosylase 1
ZNF750	0.3351	0.0001611130302661	zinc finger protein 750
TRAF3IP2	0.3351	0.0001617110702765	TRAF3 interacting protein 2
TNS4	0.3345	0.0001663731774289	tensin 4
ALG12	0.3339	0.0001708668964416	ALG12 alpha-1,6-mannosyltransferase
RAB27B	0.3338	0.0001720198725009	RAB27B, member RAS oncogene family
RHOF	0.3337	0.0001728854120653	ras homolog family member F, filopodia associated
CPLX2	-0.3334	0.0001749961848337	complexin 2
PAFAH2	0.3322	0.000185215383216	platelet activating factor acetylhydrolase 2
GPHN	-0.3317	0.0001899478334824	gephyrin
TRPM4	0.3317	0.0001901916554486	transient receptor potential cation channel subfamily M member 4
MSL1	0.3307	0.0001993761090371	MSL complex subunit 1
ANKRD22	0.3302	0.0002041709297959	ankyrin repeat domain 22
GANAB	0.3299	0.0002066897651996	glucosidase II alpha subunit
RNASE3	0.329	0.000215082440074	ribonuclease A family member 3
CEP170B	0.3286	0.0002193625744915	centrosomal protein 170B
KIAA0355	-0.3283	0.000223153843	granule associated Rac and RHOG effector 1
CDS2	0.3279	0.0002269388633297	CDP-diacylglycerol synthase 2
ZNF865	0.3277	0.0002294017317499	zinc finger protein 865
LDAH	0.3277	0.0002295624002167	lipid droplet associated hydrolase
AUP1	0.3273	0.0002329996781153	AUP1 lipid droplet regulating VLDL assembly factor
SYNJ2BP	0.3252	0.0002574922197989	synaptojanin 2 binding protein
YIPF1	0.325	0.0002593906536628	Yip1 domain family member 1
KIAA1033	0.3249	0.0002612570885823	WASH complex subunit 4
PI4KA	0.3247	0.000263054676022	phosphatidylinositol 4-kinase alpha
GLYATL1	0.3239	0.0002727947160792	glycine-N-acyltransferase like 1
SNRNP27	-0.3237	0.0002763780290188	small nuclear ribonucleoprotein U4/U6.U5 subunit 27
SAPCD2	0.3227	0.0002892560636773	suppressor APC domain containing 2
GLYATL2	0.3218	0.0003005479045505	glycine-N-acyltransferase like 2
MOSPD2	0.321	0.0003125833825768	motile sperm domain containing 2
TG	0.3208	0.0003145428415105	thyroglobulin
KIDINS220	0.3207	0.0003160473259812	kinase D interacting substrate 220
CSNK1E	0.3206	0.0003174890153153	casein kinase 1 epsilon
ENTPD2	0.3206	0.0003185924026729	ectonucleoside triphosphate diphosphohydrolase 2
RAB3D	0.3204	0.000321339394648	RAB3D, member RAS oncogene family
RTN3	0.3204	0.0003214431171692	reticulon 3
EPS15L1	-0.3203	0.000322349620865	epidermal growth factor receptor pathway substrate 15 like 1
TMEM132A	0.3201	0.0003251968062579	transmembrane protein 132A
EPHB4	0.3198	0.0003304297200978	EPH receptor B4
C1orf27	0.3195	0.0003343792865887	odr-4 GPCR localization factor homolog
LRCH4	0.3194	0.0003365262133885	leucine rich repeats and calponin homology domain containing 4
C5orf22	-0.3191	0.0003398852503014	chromosome 5 open reading frame 22
FDXR	-0.3183	0.000352292491168	ferredoxin reductase
ETS2	0.3177	0.0003621337977161	ETS proto-oncogene 2, transcription factor
RAB11A	0.3175	0.0003660665564407	RAB11A, member RAS oncogene family
EME1	0.3175	0.0003661044369649	essential meiotic structure-specific endonuclease 1
EIF5A	-0.3173	0.0003689251809363	eukaryotic translation initiation factor 5A
ST3GAL1	0.3171	0.0003728871851503	ST3 beta-galactoside alpha-2,3-sialyltransferase 1
ERCC2	0.3164	0.0003848467512261	ERCC excision repair 2, TFIIH core complex helicase subunit
CUTA	-0.3161	0.0003890382078322	cutA divalent cation tolerance homolog
BZW2	0.3157	0.0003964738358758	basic leucine zipper and W2 domains 2
PDZK1	-0.3156	0.0003978448133413	PDZ domain containing 1
MAP3K11	0.3153	0.0004041796300185	mitogen-activated protein kinase kinase kinase 11
DHCR24	0.3152	0.0004050208419069	24-dehydrocholesterol reductase
CLSPN	0.3151	0.0004085192340022	claspin
LCLAT1	0.3145	0.0004189111600706	lysocardiolipin acyltransferase 1
SGPL1	0.3141	0.0004260323835575	sphingosine-1-phosphate lyase 1
TMEM245	0.3138	0.0004327676782821	transmembrane protein 245
TP53I11	0.3137	0.0004345171271141	tumor protein p53 inducible protein 11
RSAD2	0.3134	0.0004396422673454	radical S-adenosyl methionine domain containing 2
LSM5	-0.3128	0.0004514450645777	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated
ELMOD2	0.3126	0.0004552062200751	ELMO domain containing 2
ITPR3	0.3125	0.0004578317951957	inositol 1,4,5-trisphosphate receptor type 3
TBC1D20	0.3123	0.0004609892434078	TBC1 domain family member 20
WDFY3	0.3123	0.000461218520892	WD repeat and FYVE domain containing 3
AKR1B10	0.3122	0.0004632513906857	aldo-keto reductase family 1 member B10
SLC35B3	0.3121	0.0004664366820887	solute carrier family 35 member B3
PPP6R3	0.3115	0.0004777917479456	protein phosphatase 6 regulatory subunit 3
MIA3	0.3115	0.0004781012219893	MIA SH3 domain ER export factor 3
RAP1GAP	0.311	0.0004901591119529	RAP1 GTPase activating protein
ESYT2	0.3109	0.0004913735115008	extended synaptotagmin 2
ERGIC1	0.3105	0.0004993929543404	endoplasmic reticulum-golgi intermediate compartment 1
TRIP12	0.3104	0.0005023762138149	thyroid hormone receptor interactor 12
CELSR2	-0.3104	0.0005024023933843	cadherin EGF LAG seven-pass G-type receptor 2
AP1S1	0.3103	0.0005051114304019	adaptor related protein complex 1 subunit sigma 1
TM7SF2	0.3102	0.0005061209029514	transmembrane 7 superfamily member 2
RAB10	0.31	0.0005110847765706	RAB10, member RAS oncogene family
DNA2	0.3099	0.0005135256068909	DNA replication helicase/nuclease 2
FLYWCH2	-0.3096	0.0005207370061964	FLYWCH family member 2
SUB1	-0.3094	0.0005253990067817	SUB1 regulator of transcription
PAPSS2	0.3091	0.0005310751961814	3'-phosphoadenosine 5'-phosphosulfate synthase 2
DNAJB14	0.3088	0.0005381176843284	DnaJ heat shock protein family (Hsp40) member B14
RAVER2	-0.3088	0.0005386467896612	ribonucleoprotein, PTB binding 2
SYNRG	0.3087	0.000540234177362	synergin gamma
RAB43	0.3086	0.0005431175348511	RAB43, member RAS oncogene family
RAB19	0.3084	0.0005483338922703	RAB19, member RAS oncogene family
MYO10	0.3084	0.000548555405943	myosin X
IDI1	0.3082	0.0005525546225092	isopentenyl-diphosphate delta isomerase 1
DUSP4	0.3075	0.0005696877147731	dual specificity phosphatase 4
TRAPPC10	0.3073	0.0005746840416786	trafficking protein particle complex subunit 10
NT5DC2	0.3061	0.0006065638530938	5'-nucleotidase domain containing 2
PLCG1	0.306	0.0006074547785594	phospholipase C gamma 1
CAPN13	0.3059	0.0006113509901297	calpain 13
MAVS	0.3056	0.000618457774455	mitochondrial antiviral signaling protein
ASPH	0.3052	0.0006314238417604	aspartate beta-hydroxylase
VPS35	0.3043	0.0006549492548322	VPS35 retromer complex component
TC2N	0.3043	0.0006558245201746	tandem C2 domains, nuclear
RPN2	0.3041	0.0006611044299388	ribophorin II
RBM38	-0.3041	0.0006614831042969	RNA binding motif protein 38
ABHD16A	0.3039	0.0006655361271624	abhydrolase domain containing 16A, phospholipase
APMAP	0.3037	0.0006718056044052	adipocyte plasma membrane associated protein
QPRT	0.3034	0.0006809947751568	quinolinate phosphoribosyltransferase
IER3IP1	0.3033	0.0006847333780291	immediate early response 3 interacting protein 1
ATP2C1	0.303	0.0006922428624794	ATPase secretory pathway Ca2+ transporting 1
HMGCS1	0.303	0.0006922770301912	3-hydroxy-3-methylglutaryl-CoA synthase 1
RPL19	0.3027	0.0007010322362197	ribosomal protein L19
PNKD	0.3027	0.0007014508561122	PNKD metallo-beta-lactamase domain containing
SURF4	0.3027	0.0007018248750229	surfeit 4
SHB	0.3023	0.0007132078421817	SH2 domain containing adaptor protein B
DNPH1	-0.3017	0.0007323627805476	2'-deoxynucleoside 5'-phosphate N-hydrolase 1
GOSR1	0.3013	0.0007437676009928	golgi SNAP receptor complex member 1
CLYBL	-0.3007	0.0007646650732942	citramalyl-CoA lyase
CISD3	0.3004	0.0007725583284621	CDGSH iron sulfur domain 3
FDFT1	0.3003	0.0007786864045415	farnesyl-diphosphate farnesyltransferase 1
PNPO	-0.3001	0.0007825116787358	pyridoxamine 5'-phosphate oxidase
SLC27A4	0.3	0.0007861040346636	solute carrier family 27 member 4
HNRNPU	-0.2999	0.0007908441921796	heterogeneous nuclear ribonucleoprotein U
PPP1R12B	0.2997	0.0007981935186399	protein phosphatase 1 regulatory subunit 12B
MBOAT2	0.2989	0.0008266784704672	membrane bound O-acyltransferase domain containing 2
KIAA0196	0.2988	0.000829868060776	WASH complex subunit 5
RAD51AP2	0.2984	0.0008426808483049	RAD51 associated protein 2
RALGAPB	0.2981	0.0008520699711181	Ral GTPase activating protein non-catalytic subunit beta
RAB6A	0.2979	0.0008592373164053	RAB6A, member RAS oncogene family
CHDH	-0.2978	0.0008659345803512	choline dehydrogenase
