Gene	r	p	Name
GRB7	0.9074	5.974003114746104e-30	growth factor receptor bound protein 7
MIEN1	0.8666	2.398932239915884e-24	migration and invasion enhancer 1
STARD3	0.8397	1.4161820549070573e-21	StAR related lipid transfer domain containing 3
ERBB4	0.8343	4.4296956409643145e-21	erb-b2 receptor tyrosine kinase 4
ZBED3	-0.7328	3.5616069250498696e-14	zinc finger BED-type containing 3
SLC12A8	0.7196	1.668018901849456e-13	solute carrier family 12 member 8
CDK12	0.7112	4.232739040477839e-13	cyclin dependent kinase 12
MAP3K9	0.668	3.214822260275428e-11	mitogen-activated protein kinase kinase kinase 9
TMEM141	0.6443	2.5815382299700977e-10	transmembrane protein 141
CCNK	0.6383	4.2460537624728607e-10	cyclin K
SREK1IP1	-0.6152	2.626135824944127e-09	SREK1 interacting protein 1
GRIN1	0.6055	5.406096293269932e-09	glutamate ionotropic receptor NMDA type subunit 1
MAP3K21	0.5981	9.245328432214306e-09	mitogen-activated protein kinase kinase kinase 21
LDLR	-0.5961	1.0690639779970434e-08	low density lipoprotein receptor
SNX10	-0.5933	1.2972913253464993e-08	sorting nexin 10
SPTLC2	0.5888	1.7746156500909205e-08	serine palmitoyltransferase long chain base subunit 2
MAP3K10	0.5887	1.786037701496506e-08	mitogen-activated protein kinase kinase kinase 10
AKR1B10	0.5832	2.6109566126809462e-08	aldo-keto reductase family 1 member B10
KMO	0.5779	3.717341791823811e-08	kynurenine 3-monooxygenase
SLC25A46	-0.5752	4.4496873432394696e-08	solute carrier family 25 member 46
CCDC106	-0.572	5.5150479940255744e-08	coiled-coil domain containing 106
PHETA2	0.5709	5.900904231591425e-08	PH domain containing endocytic trafficking adaptor 2
PNMT	0.5667	7.75549976758862e-08	phenylethanolamine N-methyltransferase
GRIN2B	0.5661	8.084927787972344e-08	glutamate ionotropic receptor NMDA type subunit 2B
CMTM6	0.5633	9.668745229938007e-08	CKLF like MARVEL transmembrane domain containing 6
ORMDL3	0.5608	1.1269219134379641e-07	ORMDL sphingolipid biosynthesis regulator 3
STMND1	-0.549	2.3479853133213245e-07	stathmin domain containing 1
ASRGL1	0.5453	2.923732307155855e-07	asparaginase and isoaspartyl peptidase 1
DNAJC30	0.5392	4.20767624307385e-07	DnaJ heat shock protein family (Hsp40) member C30
PPP1R10	0.5353	5.267577830920704e-07	protein phosphatase 1 regulatory subunit 10
TMEM68	0.5353	5.275256704902223e-07	transmembrane protein 68
ATP7B	0.5331	6.000973200439377e-07	ATPase copper transporting beta
KCNH5	-0.5295	7.35945036111466e-07	potassium voltage-gated channel subfamily H member 5
AGBL3	-0.5265	8.722457393914517e-07	AGBL carboxypeptidase 3
NINJ2	0.5207	1.2086991681311145e-06	ninjurin 2
ATP2C2	0.5196	1.284340814607653e-06	ATPase secretory pathway Ca2+ transporting 2
SCGB2A2	0.515	1.6462890219010293e-06	secretoglobin family 2A member 2
ZMYM5	-0.5136	1.7765028119040251e-06	zinc finger MYM-type containing 5
POR	0.5091	2.2637983117259324e-06	cytochrome p450 oxidoreductase
FBXL19	-0.508	2.403459629493348e-06	F-box and leucine rich repeat protein 19
