,0
0,1060P11.3
1,36951
2,37135
3,37226
4,37316
5,37500
6,37681
7,37865
8,38047
9,38231
10,38412
11,38596
12,38777
13,38961
14,39142
15,39326
16,39508
17,39692
18,39873
19,40057
20,40238
21,40422
22,40603
23,40787
24,41153
25,41883
26,42248
27,A1BG
28,A1BG-AS1
29,A1CF
30,A23747
31,A25969
32,A2BP1
33,A2LD1
34,A2M
35,A2M-AS1
36,A2ML1
37,A2MP1
38,A3GALT2
39,A4GALT
40,A4GNT
41,AA213559
42,AA412392
43,AA430309
44,AA489744
45,AA496144
46,AA504818
47,AA593742
48,AAA1
49,AAAS
50,AACS
51,AACSL
52,AACSP1
53,AADAC
54,AADACL2
55,AADACL2-AS1
56,AADACL3
57,AADACL4
58,AADACP1
59,AADAT
60,AAED1
61,AAGAB
62,AAK1
63,AAMDC
64,AAMP
65,AANAT
66,AAR2
67,AARD
68,AARS
69,AARS1
70,AARS2
71,AARSD1
72,AASDH
73,AASDHPPT
74,AASS
75,AATF
76,AATK
77,AATK-AS1
78,AB020701
79,AB051446
80,AB072904
81,AB088847
82,AB209400
83,AB305952
84,AB306153
85,AB306238
86,AB306242
87,AB360850
88,AB363267
89,AB384543
90,AB385295
91,AB529231
92,AB529232
93,AB529247
94,AB529248
95,AB529250
96,AB529251
97,AB529253
98,AB529254
99,AB529256
100,AB529257
101,AB529259
102,AB529273
103,ABAT
104,ABCA1
105,ABCA10
106,ABCA11P
107,ABCA12
108,ABCA13
109,ABCA17P
110,ABCA2
111,ABCA3
112,ABCA4
113,ABCA5
114,ABCA6
115,ABCA7
116,ABCA8
117,ABCA9
118,ABCB1
119,ABCB10
120,ABCB11
121,ABCB4
122,ABCB5
123,ABCB6
124,ABCB7
125,ABCB8
126,ABCB9
127,ABCC1
128,ABCC10
129,ABCC11
130,ABCC12
131,ABCC13
132,ABCC2
133,ABCC3
134,ABCC4
135,ABCC5
136,ABCC5-AS1
137,ABCC6
138,ABCC6P1
139,ABCC6P2
140,ABCC8
141,ABCC9
142,ABCD1
143,ABCD2
144,ABCD3
145,ABCD4
146,ABCE1
147,ABCF1
148,ABCF2
149,ABCF2-H2BK1
150,ABCF3
151,ABCG1
152,ABCG2
153,ABCG4
154,ABCG5
155,ABCG8
156,ABHD1
157,ABHD10
158,ABHD11
159,ABHD12
160,ABHD12B
161,ABHD13
162,ABHD14A
163,ABHD14A-ACY1
164,ABHD14B
165,ABHD15
166,ABHD16A
167,ABHD16B
168,ABHD17A
169,ABHD17B
170,ABHD17C
171,ABHD18
172,ABHD2
173,ABHD3
174,ABHD4
175,ABHD5
176,ABHD6
177,ABHD8
178,ABI1
179,ABI2
180,ABI3
181,ABI3BP
182,ABITRAM
183,ABL1
184,ABL2
185,ABLIM1
186,ABLIM2
187,ABLIM3
188,ABO
189,ABP1
190,ABR
191,ABRA
192,ABRACL
193,ABRAXAS1
194,ABRAXAS2
195,ABT1
196,ABTB1
197,ABTB2
198,AC093375.1
199,ACAA1
200,ACAA2
201,ACACA
202,ACACB
203,ACAD10
204,ACAD11
205,ACAD8
206,ACAD9
207,ACADL
208,ACADM
209,ACADS
210,ACADSB
211,ACADVL
212,ACAN
213,ACAP1
214,ACAP2
215,ACAP3
216,ACAT1
217,ACAT2
218,ACBD3
219,ACBD4
220,ACBD5
221,ACBD6
222,ACBD7
223,ACCN1
224,ACCN2
225,ACCN3
226,ACCN4
227,ACCN5
228,ACCS
229,ACCSL
230,ACD
231,ACE
232,ACE2
233,ACER1
234,ACER2
235,ACER3
236,ACHE
237,ACIN1
238,ACKR1
239,ACKR2
240,ACKR3
241,ACKR4
242,ACLY
243,ACMSD
244,ACN9
245,ACO1
246,ACO2
247,ACOT1
248,ACOT11
249,ACOT12
250,ACOT13
251,ACOT2
252,ACOT4
253,ACOT6
254,ACOT7
255,ACOT8
256,ACOT9
257,ACOX1
258,ACOX2
259,ACOX3
260,ACOXL
261,ACP1
262,ACP2
263,ACP3
264,ACP5
265,ACP6
266,ACPL2
267,ACPP
268,ACPT
269,ACR
270,ACRBP
271,ACRC
272,ACRV1
273,ACSBG1
274,ACSBG2
275,ACSF2
276,ACSF3
277,ACSL1
278,ACSL3
279,ACSL4
280,ACSL5
281,ACSL6
282,ACSM1
283,ACSM2A
284,ACSM2B
285,ACSM3
286,ACSM4
287,ACSM5
288,ACSM6
289,ACSS1
290,ACSS2
291,ACSS3
292,ACTA1
293,ACTA2
294,ACTA2-AS1
295,ACTB
296,ACTBL2
297,ACTC1
298,ACTG1
299,ACTG1P4
300,ACTG2
301,ACTL10
302,ACTL6A
303,ACTL6B
304,ACTL7A
305,ACTL7B
306,ACTL8
307,ACTL9
308,ACTN1
309,ACTN1-AS1
310,ACTN2
311,ACTN3
312,ACTN4
313,ACTR10
314,ACTR1A
315,ACTR1B
316,ACTR2
317,ACTR3
318,ACTR3B
319,ACTR3BP2
320,ACTR3BP5
321,ACTR3C
322,ACTR5
323,ACTR6
324,ACTR8
325,ACTRT1
326,ACTRT2
327,ACTRT3
328,ACVR1
329,ACVR1B
330,ACVR1C
331,ACVR2A
332,ACVR2B
333,ACVR2B-AS1
334,ACVRL1
335,ACY1
336,ACY3
337,ACYP1
338,ACYP2
339,ADA
340,ADAD1
341,ADAD2
342,ADAL
343,ADAM10
344,ADAM11
345,ADAM12
346,ADAM15
347,ADAM17
348,ADAM18
349,ADAM19
350,ADAM1A
351,ADAM2
352,ADAM20
353,ADAM20P1
354,ADAM21
355,ADAM21P1
356,ADAM22
357,ADAM23
358,ADAM28
359,ADAM29
360,ADAM30
361,ADAM32
362,ADAM33
363,ADAM3A
364,ADAM5
365,ADAM5P
366,ADAM6
367,ADAM7
368,ADAM8
369,ADAM9
370,ADAMDEC1
371,ADAMTS1
