Gene,Name
1060P11.3,#N/A
36951,#N/A
37135,#N/A
37226,#N/A
37316,#N/A
37500,#N/A
37681,#N/A
37865,#N/A
38047,#N/A
38231,#N/A
38412,#N/A
38596,#N/A
38777,#N/A
38961,#N/A
39142,#N/A
39326,#N/A
39508,#N/A
39692,#N/A
39873,#N/A
40057,#N/A
40238,#N/A
40422,#N/A
40603,#N/A
40787,#N/A
41153,#N/A
41883,#N/A
42248,#N/A
A_23_P258108,ribosomal protein L9 pseudogene 16(RPL9P16)
A_23_P90470,#N/A
A_24_P101101,#N/A
A_24_P101617,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 pseudogene 2(UQCRFS1P2)"
A_24_P101812,thyroid hormone receptor interactor 11 pseudogene(LOC341378)
A_24_P110082,ribosomal protein L29 pseudogene 21(RPL29P21)
A_24_P110273,proline rich 13 pseudogene 1(PRR13P1)
A_24_P118260,endosulfine alpha pseudogene 3(ENSAP3)
A_24_P118591,#N/A
A_24_P126741,glutaredoxin pseudogene 3(GLRXP3)
A_24_P127121,GTF3C6 pseudogene 2(GTF3C6P2)
A_24_P135391,#N/A
A_24_P135579,serine/threonine kinase receptor associated protein pseudogene(LOC344382)
A_24_P135921,#N/A
A_24_P144163,#N/A
A_24_P152325,#N/A
A_24_P152356,ribosomal protein lateral stalk subunit P1 pseudogene 3(RPLP1P3)
A_24_P152983,#N/A
A_24_P153324,ribosomal protein L7 pseudogene 44(RPL7P44)
A_24_P15502,#N/A
A_24_P15821,#N/A
A_24_P161233,chromosome 18 open reading frame 25 pseudogene(LOC729141)
A_24_P161914,ribosomal protein L7 pseudogene 13(RPL7P13)
A_24_P169843,keratin 18 pseudogene 28(KRT18P28)
A_24_P170067,ribosomal protein L7 pseudogene 34(RPL7P34)
A_24_P170095,#N/A
A_24_P170395,#N/A
A_24_P178444,argininosuccinate synthetase 1 pseudogene 13(ASS1P13)
A_24_P178654,ribosomal protein L18a pseudogene 15(RPL18AP15)
A_24_P187023,#N/A
A_24_P187086,ENTR1 pseudogene 2(ENTR1P2)
A_24_P194934,#N/A
A_24_P194962,#N/A
A_24_P195724,#N/A
A_24_P196019,myelin protein zero like 1 pseudogene(LOC644387)
A_24_P203726,ribosomal protein S16 pseudogene 1(RPS16P1)
A_24_P203814,#N/A
A_24_P204144,#N/A
A_24_P204204,voltage dependent anion channel 3 pseudogene 1(VDAC3P1)
A_24_P212565,#N/A
A_24_P213228,SUMO2 pseudogene 3(SUMO2P3)
A_24_P230057,#N/A
A_24_P238510,SSU72 pseudogene 1(SSU72P1)
A_24_P24002,ribosomal protein L36 pseudogene 8(RPL36P8)
